name,category,address,score,eval_cnt,review_cnt,lat,lng,distance
진미평양냉면,냉면,논현동 115-10,3.7,204,532,37.5161072,127.0360301,669.6984322978802
대가방 본점,중화요리,논현동 99-7,3.3,86,101,37.5211149,127.0385258,1233.413551612062
세종한우 2호점,"육류,고기",논현동 216-10,3.0,27,42,37.5108893,127.0325093,235.98163799093865
크래버대게나라 강남점,"게,대게",논현동 261,4.1,38,188,37.5115897,127.0362884,528.5555299023802
카페써드,커피전문점,논현동 118-4,3.7,12,100,37.5173618,127.0398296,1020.0617475826783
해몽,"육류,고기",논현동 107-11,4.2,45,173,37.5180734,127.0363645,848.7781760736297
한성칼국수,한식,논현동 98-12,3.7,39,83,37.5202946,127.0359457,1034.5199223708046
우정양곱창,"곱창,막창",논현동 67-11,3.9,27,121,37.518396,127.0300945,697.6464561272558
리북집 논현직영점,"족발,보쌈",논현동 163-3,3.7,87,198,37.5086695,127.0235753,709.2340381187946
현우동,"돈까스,우동",논현동 11-1,3.7,72,177,37.5169894,127.0242927,759.285143846954
맛짱조개,조개,논현동 114-14,4.2,36,216,37.5171236,127.0363553,768.7671733020429
김수사,"초밥,롤",논현동 4-19,0.0,0,128,37.5171309,127.0232083,839.5571799811531
홍명,중화요리,논현동 37-9,3.5,82,104,37.51449,127.0294426,274.4991436890215
일일향 2호점,중화요리,논현동 206-5,3.4,29,54,37.5072082,127.0322447,572.0896950293995
달맞이,일식,논현동 144,4.2,31,126,37.5097195,127.0230639,694.7937110335389
삼육가 논현직영점,"육류,고기",논현동 198,3.6,39,139,37.5056529,127.0250046,859.5749376114371
맷카페,카페,논현동 255-5,3.9,57,134,37.5139316,127.0406178,929.0312126311456
진전복삼계탕,삼계탕,논현동 243-5,4.4,21,405,37.51581669999999,127.0397408,925.690869133577
마켓오 압구정점,양식,논현동 91-6,4.0,22,60,37.5214918,127.0354608,1135.4792180825516
한우리 본점,"육류,고기",논현동 91-18,2.5,27,47,37.5211001,127.0347283,1070.6210829047072
평양면옥,냉면,논현동 66-2,3.1,73,73,37.5189036,127.0291479,760.9939430788396
아우어베이커리 싸이더스점,디저트카페,논현동 267-20,4.0,25,151,37.5125882,127.0426258,1085.389915708098
세광양대창 논현점,"곱창,막창",논현동 183,4.1,14,198,37.5062573,127.024766,816.6300155832298
영동민물장어,장어,논현동 98-8,4.6,15,99,37.5202787,127.0353237,1007.8333416629903
함지곱창전문,"곱창,막창",논현동 144-5,3.6,47,187,37.5092372,127.0232523,702.3304262330555
유정식당,한식,논현동 8-8,3.5,26,62,37.518326,127.0280524,718.3069762387394
달링키친,카페,논현동 247-9,3.6,34,170,37.5139721,127.0375122,665.6164472763026
인량 훠궈,중식,논현동 21-16,4.4,19,162,37.5140633,127.0211907,834.7627426807804
멘야산다이메 신논현점,일본식라면,논현동 184-17,3.2,72,52,37.5062414,127.0261144,752.6707070812414
카메스시,"초밥,롤",논현동 254-26,4.4,39,116,37.5138254,127.0417458,1024.1485671842072
다로베 청담점,양식,논현동 94-9,3.8,39,42,37.5221882,127.038995,1354.8661636210027
노란상 소갈비 강남구청점,갈비,논현동 112-7,4.4,39,54,37.5174781,127.0391663,980.3994642409768
136길 육미,퓨전일식,논현동 107-34,3.8,69,194,37.5173415,127.0363366,785.3505774335592
메리가든,양식,논현동 201-11,4.3,74,191,37.5051696,127.0258422,868.9666106657899
홈수끼 학동점,샤브샤브,논현동 115-1,3.4,21,171,37.5161957,127.0357145,655.8302681846455
배꼽집,"육류,고기",논현동 140-3,3.1,31,40,37.5100919,127.0240737,596.6603601708853
아카라,일본식주점,논현동 272-31,4.3,14,76,37.5101803,127.0399249,873.1486875030131
영동원삼겹살,삼겹살,논현동 164-18,4.3,26,58,37.5086775,127.0232347,734.2018178473736
난장캠프 논현본점,"육류,고기",논현동 198-3,3.4,16,85,37.5057139,127.0251871,845.1490193813106
강남어시장,"해물,생선",논현동 164-7,2.2,15,106,37.5077997,127.0234339,775.7046362285697
취영루 논현점,중화요리,논현동 141-3,2.9,24,64,37.5105332,127.0227411,692.7103554753829
논현손칼국수,국수,논현동 193-38,4.1,57,67,37.5075674,127.032205,532.9557162458723
슈퍼집 논현점,떡볶이,논현동 246-1,3.4,28,31,37.5148766,127.0367099,640.2169069886978
돌곰네,"해물,생선",논현동 105,3.6,28,95,37.5193601,127.0366998,981.0697905855895
대삼식당,삼겹살,논현동 106-17,3.5,31,102,37.5174516,127.0361406,783.0213788971756
압구정변강쇠떡볶이,떡볶이,논현동 105-4,3.0,41,99,37.5206817,127.037115,1123.8368816300356
갯벌의진주 본점,조개,논현동 163-13,4.0,25,62,37.5080722,127.0239156,723.585429977262
팔당닭발&오징어 강남본점,닭요리,논현동 116-5,3.6,24,76,37.5164757,127.0377946,816.7367036861768
