name,category,address,score,eval_cnt,review_cnt
진미평양냉면,냉면,(지번) 논현동 115-10,3.7,204건,리뷰 532
대가방 본점,중화요리,(지번) 논현동 99-7,3.3,86건,리뷰 101
세종한우 2호점,"육류,고기",(지번) 논현동 216-10,3.0,27건,리뷰 42
크래버대게나라 강남점,"게,대게",(지번) 논현동 261,4.1,38건,리뷰 188
카페써드,커피전문점,(지번) 논현동 118-4,3.7,12건,리뷰 100
해몽,"육류,고기",(지번) 논현동 107-11,4.2,45건,리뷰 173
한성칼국수,한식,(지번) 논현동 98-12,3.7,39건,리뷰 83
우정양곱창,"곱창,막창",(지번) 논현동 67-11,3.9,27건,리뷰 121
리북집 논현직영점,"족발,보쌈",(지번) 논현동 163-3,3.7,87건,리뷰 198
현우동,"돈까스,우동",(지번) 논현동 11-1,3.7,72건,리뷰 177
맛짱조개,조개,(지번) 논현동 114-14,4.2,36건,리뷰 216
김수사,"초밥,롤",(지번) 논현동 4-19,,(30),리뷰 128
홍명,중화요리,(지번) 논현동 37-9,3.5,82건,리뷰 104
일일향 2호점,중화요리,(지번) 논현동 206-5,3.4,29건,리뷰 54
달맞이,일식,(지번) 논현동 144,4.2,31건,리뷰 126
진미평양냉면,냉면,(지번) 논현동 115-10,3.7,204건,리뷰 532
대가방 본점,중화요리,(지번) 논현동 99-7,3.3,86건,리뷰 101
세종한우 2호점,"육류,고기",(지번) 논현동 216-10,3.0,27건,리뷰 42
크래버대게나라 강남점,"게,대게",(지번) 논현동 261,4.1,38건,리뷰 188
카페써드,커피전문점,(지번) 논현동 118-4,3.7,12건,리뷰 100
해몽,"육류,고기",(지번) 논현동 107-11,4.2,45건,리뷰 173
한성칼국수,한식,(지번) 논현동 98-12,3.7,39건,리뷰 83
우정양곱창,"곱창,막창",(지번) 논현동 67-11,3.9,27건,리뷰 121
리북집 논현직영점,"족발,보쌈",(지번) 논현동 163-3,3.7,87건,리뷰 198
현우동,"돈까스,우동",(지번) 논현동 11-1,3.7,72건,리뷰 177
맛짱조개,조개,(지번) 논현동 114-14,4.2,36건,리뷰 216
김수사,"초밥,롤",(지번) 논현동 4-19,,(30),리뷰 128
홍명,중화요리,(지번) 논현동 37-9,3.5,82건,리뷰 104
