사용장소,방문횟수,사용금액,카테고리
(주)신세계페이먼츠,4,546290,-
11번가,4,232240,-
GS슈퍼마켓,4,381680,-
가마솥,4,224000,보양식
감나무집,33,6527500,한식
강강술래,21,5068500,고기
강촌민물매운탕2호점,7,547000,해물
갯바위,6,458000,해물
거목쟁반짜장,8,136500,중식
고려왕족발,5,351000,고기
고창복의낙지세상,11,1183000,해물
구수옥설렁탕,9,586000,국밥류
그린파크식당,5,1600000,한식
금비,12,2756000,고기
기절초풍왕순대,4,119000,국밥류
김가네,9,617500,분식
김밥,5,1021000,분식
김밥천국,6,347000,분식
나주곰탕,12,928500,국밥류
나주오리종가,4,457000,고기
남도전문음식점,5,1188000,해물
남원추어탕,33,3146000,보양식
다리목,12,2760000,한식
다이소,8,97700,-
당곡기사식당,11,846000,한식
대호아구집,7,456000,해물
동강염소탕,4,403000,보양식
등갈비연탄구이,4,434000,고기
떡보의하루,22,3453600,카페&디저트
라온,5,311500,-
마켓동광,4,184000,카페&디저트
만리장성,21,2247000,중식
맘스터치,6,145600,기타
먹쉬돈나,6,283000,분식
메밀꽃밭언덕너머,9,445500,면류
명태어장,10,889000,해물
명품횡성한우가,13,3230000,고기
모리,6,160000,카페&디저트
목포부부아구찜,7,747000,해물
미가할매집,8,1177000,한식
미추원주추어탕,5,821000,보양식
바다양푼이동태탕,4,149000,해물
백채,6,184000,한식
베리베리,6,116000,카페&디저트
본죽,15,615000,기타
봉천동진순자김밥,8,395000,분식
북경반점,7,763000,중식
사랑방,5,951000,한식
사사꼬,9,467500,일식
사시사철흑염소오리,7,1048000,보양식
산야로,31,1916000,국밥류
삼미옥,7,836000,국밥류
상도스시,4,322000,일식
생각보다맛있는집,21,1158000,면류
서울대곱창,4,312500,고기
서울삼족탕,5,467000,국밥류
선우정,5,672900,고기
세컨드페이지,4,114800,카페&디저트
송원마포갈비,4,160000,고기
숨은집,7,1007000,기타
시골집,45,9381000,한식
신부산횟집,4,614000,일식
신안바다장어,5,408000,보양식
쌈마을,26,4350000,해물
아리차이,10,1605000,중식
안집,8,705000,한식
양평해장국,6,272000,국밥류
어메칼국수,18,768500,면류
얼큰수제비해물칼국수,18,614500,면류
영덕물회막회,5,711000,해물
옛날육개장,26,2664000,국밥류
오리오리,31,2076000,고기
옥천골,40,6801000,보양식
완산정,5,235500,한식
외래향,5,416000,중식
용궁,4,208500,중식
우리가참김치,6,744000,한식
우리동네고기집,22,7319900,고기
우리참순대,7,326000,국밥류
우성각,5,790000,중식
우쥬커피,4,137900,카페&디저트
유천칡냉면,5,338000,면류
은성숯불갈비,19,1867100,고기
이금옥샤브샤브칼국수,11,1158000,기타
일구칠구매운탕,5,487000,해물
일커피,9,170000,카페&디저트
자연별곡,9,862400,한식
작은따옴표,4,930000,주점
장군집,7,263000,주점
장보고마트,25,6522210,-
장수삼계탕,6,180000,보양식
장터순대국,5,743000,국밥류
쟝블랑제리,13,644550,카페&디저트
전진식당,10,314000,고기
정가,11,2617000,한식
정담은보쌈,6,993500,고기
정육점식당,6,279000,고기
제주은갈치,93,11714000,해물
진우리독도참치,6,863000,해물
청능장,19,1009000,중식
초대,4,622000,한식
추어탕전문점대령숙수,5,504000,보양식
카모메,10,681400,일식
카페모아,14,452900,카페&디저트
커피빈코리아,4,78600,카페&디저트
컴포즈커피,9,147900,카페&디저트
코코미,9,798000,일식
콩심,22,540000,국밥류
쿠우쿠우,7,663300,일식
쿠팡,18,4820410,-
태창온누리약국,9,502700,-
통큰대박집,13,2985000,한식
투썸서울대입구역,4,56790,카페&디저트
티라노,9,310000,카페&디저트
파리바게뜨,33,1125300,카페&디저트
페리카나,10,1359000,기타
풍년옥,8,1008000,한식
풍년집,4,122000,고기
풍천장어,6,760000,보양식
하이보,23,4470000,중식
한근한방삼계탕,10,627000,보양식
할매보쌈,5,408000,고기
해물나라,17,1892000,해물
홍콩반점,7,278500,중식
황복,6,390000,보양식
후포리,4,535000,해물
흥부보쌈,8,1167000,고기
