기간	지역	평균	간선도로	보조간선도로	집산도로	국지도로
2016	전체	23.08	24.36	28.41	26.53	13.02
2016	종로구	23.98	26.98	37.26	18.89	12.78
2016	중구	26.25	23.29	38.89	33.6	9.23
2016	용산구	32.45	31.75	39.3	34.83	23.9
2016	성동구	15.13	17.04	24.58	15.69	3.19
2016	광진구	19.97	25.64	24.15	25.59	4.49
2016	동대문구	22.93	23.36	28.88	25.64	13.82
2016	중랑구	11.88	15.44	22.28	1.78	8.01
2016	성북구	25.89	27.88	41.44	28.88	5.34
2016	강북구	17.74	22.97	15.19	22.85	9.95
2016	도봉구	19.21	18.54	29.45	18.81	10.03
2016	노원구	49.95	42.44	42.61	56.1	58.64
2016	은평구	17.96	17.22	15.15	22.28	17.19
2016	서대문구	15.39	17.21	25.84	15.23	3.28
2016	마포구	23.47	21.47	25.67	38.39	8.35
2016	양천구	26.78	21.66	22.76	40.41	22.27
2016	강서구	11.5	24.44	17.26	2.88	1.43
2016	구로구	21.19	17.28	17.94	41.12	8.4
2016	금천구	17.85	17.89	18.34	29.96	5.21
2016	영등포구	23.49	16.11	29.35	24.34	24.15
2016	동작구	21.99	21.57	22.85	29.3	14.22
2016	관악구	18.52	29.88	18.5	18.21	7.49
2016	서초구	25.75	27.64	31.29	28.19	15.87
2016	강남구	33.46	39.92	33.34	37.3	23.28
2016	송파구	21.98	28.98	31.62	1.89	25.42
2016	강동구	19.09	22.36	31.36	20.09	2.53
