지점,지점명,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi)
165,목포,2012-12-01,2.9,-.3,2200,6,32
165,목포,2012-12-02,4.8,.3,1,10.4,1507
165,목포,2012-12-03,5,1.4,514,10.4,1438
165,목포,2012-12-04,3,.9,2239,6.1,1257
165,목포,2012-12-05,3,-.3,2204,8,1240
165,목포,2012-12-06,-.6,-1.7,2243,1.5,1048
165,목포,2012-12-07,3.3,-1.9,53,9.8,1407
165,목포,2012-12-08,.4,-1.8,2041,3.3,1242
165,목포,2012-12-09,-2.1,-6.5,758,.6,414
165,목포,2012-12-10,-1.4,-5,655,3.4,1328
165,목포,2012-12-11,0,-1.8,236,3.6,1316
165,목포,2012-12-12,.4,-2.6,727,5,1246
165,목포,2012-12-13,3,-3.5,712,9.9,1507
165,목포,2012-12-14,9.9,4.3,1,12.8,1350
165,목포,2012-12-15,7,3.9,2400,10.1,1
165,목포,2012-12-16,5.9,2.3,727,10.3,1454
165,목포,2012-12-17,4.7,2.3,2314,7.7,1237
165,목포,2012-12-18,-.2,-1.6,954,2.4,14
165,목포,2012-12-19,-.8,-2.7,2309,3.1,1456
165,목포,2012-12-20,.5,-3.5,449,4.1,1516
165,목포,2012-12-21,4,1.7,1,5.4,1228
165,목포,2012-12-22,2.7,1.4,1848,3.9,2
165,목포,2012-12-23,-2.4,-5.1,2359,1.9,1
165,목포,2012-12-24,-2.7,-8,516,1.3,1525
165,목포,2012-12-25,-.8,-5.1,2400,2.5,509
165,목포,2012-12-26,-5.1,-8.2,658,-1.4,1514
165,목포,2012-12-27,-2.3,-7.6,329,2.3,1445
165,목포,2012-12-28,.1,-1.2,148,3.4,1520
165,목포,2012-12-29,.8,-2.4,708,4.2,1536
165,목포,2012-12-30,-1,-2.6,1849,.7,207
165,목포,2012-12-31,-2,-5.4,834,1.5,1459
165,목포,2013-01-01,2,-3,410,5.3,1230
165,목포,2013-01-02,-2.1,-6.7,2346,4.6,36
165,목포,2013-01-03,-5.8,-8.8,556,-2.1,1239
165,목포,2013-01-04,-4.8,-7.5,745,-.5,1454
165,목포,2013-01-05,-2.7,-6.9,651,1.8,1426
165,목포,2013-01-06,-.6,-3.2,2230,3.3,1410
165,목포,2013-01-07,-1.7,-5.3,732,2.6,1437
165,목포,2013-01-08,-.8,-4.7,746,4.9,1256
165,목포,2013-01-09,-2.9,-5.1,2353,-.2,1336
165,목포,2013-01-10,-3.6,-6.3,738,.9,1449
165,목포,2013-01-11,-2.2,-7.8,744,3.4,1530
165,목포,2013-01-12,2,-1.6,717,7.7,1412
165,목포,2013-01-13,-.1,-2.4,715,3.3,1519
165,목포,2013-01-14,.8,-2.9,729,5.9,1318
165,목포,2013-01-15,-.3,-4.1,723,4.8,1430
165,목포,2013-01-16,.7,-2.6,233,4.6,1406
165,목포,2013-01-17,-.7,-1.6,940,.6,1
165,목포,2013-01-18,-.5,-4.8,721,4.1,1228
165,목포,2013-01-19,2.6,.3,30,5.5,1305
165,목포,2013-01-20,4.5,-1.1,802,9.6,1416
165,목포,2013-01-21,7.2,4.6,2355,8.7,1228
165,목포,2013-01-22,3.9,3.3,2300,5.1,1357
165,목포,2013-01-23,3.2,1.8,2352,4.4,1513
165,목포,2013-01-24,2.2,.3,357,6,1307
165,목포,2013-01-25,-1.4,-2.8,1947,1.2,1441
165,목포,2013-01-26,-2.1,-4.3,811,.3,1335
165,목포,2013-01-27,-.6,-1.8,1325,1.3,1010
165,목포,2013-01-28,1.9,-2.7,725,6.4,1557
165,목포,2013-01-29,4.5,-.8,441,9.9,1407
165,목포,2013-01-30,6.9,1.3,640,13.2,1508
165,목포,2013-01-31,9.7,5.9,133,13.7,1402
