기간	자치구	노선수	수량	종별	종별	종별	종별	종별	종별	종별	종별	종별	종별	종별	종별	종별	종별	종별	종별	종별	종별	종별	종별
기간	자치구	노선수	수량	은행나무	양버즘나무	느티나무	왕벚나무	은단풍나무	메타세콰이어	회화나무	가죽나무	감나무	수양버들	튜울립나무	칠엽수	포플러	느릅나무	살구나무	무궁화	소나무	목련	이팝나무	기타
2020	서울시	1,482	305,086	106,205	59,776	37,789	35,583	366	5,148	7,575	59	907	32	953	1,587	7	475	222	2,222	4,606	383	21,157	20,034
2020	종로구	62	7,435	4,075	1,067	698	422	-	1	144	1	-	8	-	13	-	-	-	-	267	-	710	29
2020	중구	48	8,300	3,629	162	459	305	-	-	174	-	-	-	7	-	-	-	23	46	2,217	-	461	817
2020	용산구	39	7,821	4,378	1,365	471	261	-	-	41	-	75	-	12	16	-	-	42	-	51	126	202	781
2020	성동구	38	7,927	1,037	2,102	1,906	602	29	48	294	32	146	-	-	1	3	59	-	-	53	-	946	669
2020	광진구	28	7,238	1,244	2,318	1,062	931	-	-	153	-	25	-	58	101	-	-	-	-	20	113	770	443
2020	동대문구	43	10,676	3,869	3,215	849	747	-	62	143	7	38	7	37	19	-	1	26	1	-	-	1,199	456
2020	중랑구	59	8,270	2,765	2,483	348	461	-	74	-	-	52	-	-	-	-	-	-	212	64	-	659	1,152
2020	성북구	80	8,485	2,533	1,188	1,000	1,757	8	65	38	-	90	-	4	-	-	-	9	5	90	-	1,038	660
2020	강북구	31	7,346	3,067	878	322	496	271	-	95	-	-	-	5	-	-	140	-	-	1,015	-	643	414
2020	도봉구	63	9,449	4,811	292	778	2,092	6	61	32	-	-	1	12	-	-	-	-	216	15	-	47	1,086
2020	노원구	100	13,276	6,104	2,714	1,130	1,913	-	292	133	1	6	-	-	-	-	-	41	-	10	6	122	804
2020	은평구	36	10,191	4,297	1,722	512	2,469	-	43	157	-	-	-	-	16	-	-	-	-	11	-	488	476
2020	서대문구	42	8,667	3,449	1,855	765	780	-	25	80	-	3	-	10	5	4	-	-	70	-	-	501	1,120
2020	마포구	94	14,558	3,333	3,535	3,065	1,190	-	474	960	-	101	-	-	-	-	-	64	-	124	93	1,272	347
2020	양천구	69	13,509	5,622	3,992	1,065	956	-	74	176	-	24	-	-	4	-	-	-	197	-	-	804	595
2020	강서구	61	14,408	4,082	673	2,429	2,778	-	1,641	185	-	-	-	-	176	-	-	-	58	282	-	1,537	567
2020	구로구	81	11,692	3,584	1,283	1,921	2,295	11	3	-	-	-	5	-	17	-	-	-	-	30	26	1,278	1,239
2020	금천구	30	6,495	3,517	1,013	409	1,051	-	36	172	-	27	-	-	7	-	-	-	-	5	-	189	69
2020	영등포구	116	17,614	5,884	3,146	3,692	2,521	41	54	126	7	56	-	21	168	-	-	-	-	40	19	1,192	647
2020	동작구	29	7,226	2,223	823	1,436	1,145	-	116	-	-	45	-	-	-	-	-	-	206	7	-	397	828
2020	관악구	32	10,126	2,161	2,136	191	2,556	-	94	150	-	219	-	-	-	-	-	-	1,120	59	-	254	1,186
2020	서초구	56	16,099	3,476	5,025	3,379	232	-	1,107	477	11	-	-	-	712	-	-	-	91	-	-	449	1,140
2020	강남구	61	23,479	7,194	7,489	3,031	2,464	-	864	523	-	-	-	65	-	-	-	-	-	-	-	936	913
2020	송파구	107	23,358	11,788	3,978	2,595	992	-	14	-	-	-	11	722	329	-	-	-	-	212	-	2,085	632
2020	강동구	67	17,028	5,455	4,190	2,416	2,323	-	-	55	-	-	-	-	-	-	-	-	-	-	-	642	1,947
2020	공원녹지사업소	1	235	179	26	23	-	-	-	-	-	-	-	-	3	-	-	-	-	-	-	4	-
2020	시설관리공단	9	14,178	2,449	1,106	1,837	1,844	-	-	3,267	-	-	-	-	-	-	275	17	-	34	-	2,332	1,017
