기간	대분류	분류	매우 불만족	약간 불만족	보통	약간 만족	매우 만족	10점 평균
2020	서울시	서울시	2.4	12.8	40	34.9	9.9	5.93
2020	성별	남자	2.3	13.1	41	34.1	9.5	5.89
2020	성별	여자	2.5	12.5	39	35.7	10.2	5.96
2020	연령별	10대	1.3	10.6	52.4	28.1	7.5	5.75
2020	연령별	20대	2.5	14.5	42.7	32.2	8.2	5.73
2020	연령별	30대	3.2	12.5	37.5	35.3	11.4	5.98
2020	연령별	40대	2.7	11.1	35.4	37.6	13.2	6.19
2020	연령별	50대	2.2	12.5	37	37.2	11.1	6.06
2020	연령별	60대 이상	1.9	13.7	42.9	34.3	7.2	5.78
2020	학력별	중졸 이하	1.8	15	44.5	33.4	5.4	5.64
2020	학력별	고졸 이하	2.3	13.3	43.9	32.6	7.9	5.76
2020	학력별	대졸 이하	2.6	12.3	38.1	35.8	11.3	6.03
2020	학력별	대학원 이상	3.4	9.1	25.4	43.1	19	6.63
2020	소득별	100만원 미만	3	12.6	35.8	37.6	10.9	6.02
2020	소득별	100-200만원 미만	3.2	15.7	39.5	32.4	9.2	5.72
2020	소득별	200-300만원 미만	2.4	14.4	41.5	32.2	9.4	5.8
2020	소득별	300-400만원 미만	2.5	13.4	43	32.9	8.1	5.77
2020	소득별	400-500만원 미만	2	11.8	40.6	36	9.6	5.99
2020	소득별	500만원 이상	2.3	11.7	38.8	36.4	10.8	6.04
2020	혼인상태별	기혼	2.4	12.3	37.2	37.2	10.9	6.05
2020	혼인상태별	미혼	2.6	13.2	43.8	31.2	9.3	5.78
2020	혼인상태별	이혼/사별/기타	2	14.1	44.5	32.9	6.5	5.69
2020	지역대분류	도심권	1.5	11.2	44.3	32.4	10.6	5.98
2020	지역대분류	동북권	2.4	12.8	40.2	36.2	8.4	5.88
2020	지역대분류	서북권	2	11.7	43.2	34.6	8.6	5.9
2020	지역대분류	서남권	3.3	13.3	39.2	34.7	9.6	5.85
2020	지역대분류	동남권	1.5	13	37.9	34.3	13.2	6.11
2020	종로구	종로구	1.1	8.1	56.6	26.6	7.6	5.79
2020	중구	중구	1.9	14.4	30.5	42.6	10.7	6.15
2020	용산구	용산구	1.6	11.4	44	30.4	12.6	6.02
2020	성동구	성동구	1.1	13.7	40.8	33.6	10.8	5.98
2020	광진구	광진구	2.2	14.4	39.5	31.6	12.3	5.94
2020	동대문구	동대문구	2.8	14.4	42.2	33.9	6.7	5.69
2020	중랑구	중랑구	2.8	11.9	37.7	40.9	6.6	5.92
2020	성북구	성북구	2.3	10.7	42.4	38.4	6.2	5.89
2020	강북구	강북구	2.8	12.2	43.8	32.8	8.5	5.8
2020	도봉구	도봉구	2.9	14.6	37	37.6	7.9	5.82
2020	노원구	노원구	2.3	11.8	38.9	37.9	9	5.99
2020	은평구	은평구	2	11.7	45.9	32.1	8.3	5.82
2020	서대문구	서대문구	1.6	11	39	39.4	9	6.08
2020	마포구	마포구	2.2	12.2	43.2	33.7	8.6	5.86
2020	양천구	양천구	1.9	11.9	37.1	37.3	11.8	6.13
2020	강서구	강서구	2.8	14.7	38.7	32.4	11.4	5.87
2020	구로구	구로구	4.6	12.4	38.1	32.9	12	5.88
2020	금천구	금천구	4.3	18.1	36.2	34.8	6.7	5.54
2020	영등포구	영등포구	2.7	13.1	44.6	33.3	6.3	5.69
2020	동작구	동작구	3.2	11.5	40	35.9	9.3	5.91
2020	관악구	관악구	4	12.7	39.4	36.1	7.7	5.77
2020	서초구	서초구	1.4	11.1	38	37.4	12.2	6.2
2020	강남구	강남구	1.5	12.3	33.1	37.5	15.7	6.34
2020	송파구	송파구	1.9	13.5	38.8	33	12.9	6.04
2020	강동구	강동구	1.1	15.2	42.5	29.7	11.5	5.88
