,사용금액,cnt
제주은갈치,11714000,93
시골집,9139000,43
우리동네고기집,7319900,22
옥천골,6801000,40
감나무집,6527500,33
장보고마트,5304960,19
강강술래,5068500,21
쿠팡,4820410,18
하이보,4470000,23
쌈마을,4350000,26
떡보의하루,3249600,19
명품횡성한우가,3230000,13
남원추어탕,3146000,33
서울대학교생활협동조합,2988000,2
통큰대박집,2985000,13
다리목,2760000,12
금비,2756000,12
신바람과일,2730000,2
옛날육개장,2664000,26
정가,2617000,11
오리오리,2076000,31
만리장성,1947000,20
산야로,1916000,31
은성숯불갈비,1867100,19
태평양출장부페,1800000,1
아리차이,1605000,10
그린파크식당,1600000,5
페리카나,1359000,10
해물나라곤드레밥,1319000,11
남도전문음식점,1188000,5
고창복의낙지세상,1183000,11
미가할매집,1177000,8
흥부보쌈,1167000,8
생각보다맛있는집,1158000,21
이금옥샤브샤브칼국수,1158000,11
파리바게뜨,1086200,32
설악한우직판장,1076200,1
사시사철흑염소오리,1048000,7
김밥,1021000,5
청능장,1009000,19
풍년옥,1008000,8
숨은집,1007000,7
정담은보쌈,993500,6
사랑방,951000,5
작은따옴표,930000,4
나주곰탕,928500,12
명태어장,889000,10
진우리참치,863000,6
자연별곡,862400,9
당곡기사식당,846000,11
삼미옥,836000,7
미추원주추어탕,821000,5
코코미,798000,9
우성각,790000,5
어메칼국수,768500,18
북경반점,763000,7
풍천장어,760000,6
목포부부아구찜,747000,7
우리가참김치,744000,6
장터순대국,743000,5
어울더울생고기,731000,2
신세계페이먼츠,728790,3
부산복집,724000,3
영덕물회막회,711000,5
안집,705000,8
카모메,681400,10
선우정,672900,5
쿠우쿠우,663300,7
한근한방삼계탕,627000,10
이가네감자탕,622000,3
초대,622000,4
본죽,615000,15
얼큰수제비해물칼국수,614500,18
신부산횟집,614000,4
구수옥설렁탕,586000,9
해물나라,573000,6
바달비,563000,3
두꺼비맛집,550000,3
강촌민물매운탕2호점,547000,7
(주)신세계페이먼츠,546290,4
콩심,540000,22
쟝블랑제리,539350,11
후포리,535000,4
와사비,530000,3
리몽,529000,1
희로애락,508000,2
추어탕전문점대령숙수,504000,5
황제갈비,501000,3
유창숯불갈비,500000,3
일구칠구매운탕,487000,5
김가네,479500,7
원할머니보쌈,470000,1
(주)신화아이푸드,469500,1
사사꼬,467500,9
서울삼족탕,467000,5
갯바위,458000,6
나주오리종가,457000,4
대호아구집,456000,7
카페모아,452900,14
먹골,450000,2
메밀꽃밭언덕너머,445500,9
금수사,445000,2
뚱띵이곱창,440000,2
등갈비연탄구이,434000,4
런던부페,420000,1
외래향,416000,5
할매보쌈,408000,5
신안바다장어,408000,5
동강염소탕,403000,4
보현푸드,399200,2
장수촌,390000,3
황복,390000,6
성암축산정육식당,390000,2
한우리축산물,390000,1
전설의옛날통닭,389000,3
GS슈퍼마켓,381680,4
바우네족발,380000,3
옛날집,375000,2
무한고기마을,369200,3
당진아구동태찜탕,365000,2
고려왕족발,351000,5
김밥천국,347000,6
목포낙지홍어,342000,2
유천칡냉면,338000,5
올림반찬,333000,3
봉이구이대장,332000,2
동해수산,330000,1
큰손숯불갈비,329200,2
별난왕족발보쌈,328000,2
우리참순대,326000,7
봉천동진순자김밥,323000,7
상도스시,322000,4
온돌,321000,3
우리집한식부페,320000,3
종로빈대떡,316000,3
전진식당,314000,10
서울대곱창,312500,4
진진식품,312000,1
라온,311500,5
티라노,310000,9
삼곱식당서울대역점,306800,1
동해물회,300000,1
은천식당,300000,3
왕십리곱창,300000,1
태창온누리약국,299200,7
명인아구찜,298000,1
동해,296000,1
김용해순대국,293000,2
장수생삼겹살,290000,2
보배곱창,283000,1
정육점식당,279000,6
홍콩반점,278500,7
옛터,273000,1
양평해장국,272000,6
새마을식당,269000,2
삼백돈,268000,3
태평양킹참치,266000,2
장군집,263000,7
취홍,259000,1
한고을해물칼국수,258500,1
세인트존스호텔,257400,1
우리축산정육점식당,252000,2
농장사람들,250680,2
전남건강원,250000,1
달구리,248000,1
마포소금구이,246000,1
홍매,246000,3
고흥식당,245000,3
먹쉬돈나,243000,5
시골집영양탕삼계탕,242000,2
텐동요츠야,240000,2
바르미스시뷔페,237400,2
완산정,235500,5
화로구이,234240,1
11번가,232240,4
쭉심,231500,2
어회가,229000,1
서연,227000,2
국회루,225500,2
해태식당,225000,2
일송정,225000,1
가마솥,224000,4
경복궁,220000,1
감격시대,220000,1
목포산낙지철판해물,219000,2
목포수산,218000,3
옛날농장,215000,2
갯벌낙지,210000,1
종가집,210000,1
용궁,208500,4
박가네능이백숙삼계탕,208000,1
장수집,208000,7
서울 금천구 가산로 33,204000,3
등촌샤브칼국수,201000,2
푸른제주,200000,1
신림제주흑돼지,200000,1
킴스해물로스,200000,1
교대전집,200000,1
전주콩나물국밥,200000,1
정담,199000,2
라티놀,196500,3
위메프,195800,2
아웃백,193900,2
맛고을칼국수＆찰보리밥,193000,2
들향기칼국수쭈꾸미,186000,1
백채,184000,6
마켓동광,184000,4
밋앤미트,182000,1
토방집등심생고기,181000,1
미스터시래기,180500,1
또와봐순대,180000,1
가온매운갈비찜,180000,1
여의도수제비,180000,2
려,176000,1
영광수산장어1번가,175000,2
동태찜&코다리냉면,173000,1
어도원,172000,1
모이세,171000,1
일커피,170000,9
오삼,169000,2
탄탄꼬기,166200,2
소풍가는날,165000,2
정수사,165000,1
안씨네쭈꾸미,165000,2
강문어화횟집,164000,1
마당쇠,164000,1
국내산생고기,160000,1
모리,160000,6
훈이네해장국,160000,2
송원마포갈비,160000,4
어물전,159000,1
태양수산,159000,2
바우네나주곰탕,159000,3
무교동본낙지,159000,3
(주)영풍안성상휴게,157000,1
소곱소곱,154000,2
서도면옥,152000,2
