사용자,사용일시,사용금액,사용장소,주소,사용내역
의장,2019-01-02,58500,완산정,서울 관악구 봉천로 484,의정활동 및 의회운영 관련 업무휴대경비
의장,2019-01-02,89000,제주은갈치,서울 관악구 관악로 139,의정활동 및 의회운영 관련 업무휴대경비
의장,2019-01-04,14000,아리차이,서울 관악구 신림동길 4,의정활동 및 의회운영 관련 업무휴대경비
의장,2019-01-09,77000,남원추어탕,서울 관악구 쑥고개로 135,의정활동 및 의회운영 관련 업무휴대경비
의장,2019-01-09,83300,카페베네,서울 관악구 남부순환로 2082-29,의정활동 및 의회운영 관련 업무휴대경비
의장,2019-01-10,59000,명태어장,서울 관악구 남부순환로 1852,의정활동 및 의회운영 관련 업무휴대경비
의장,2019-01-10,40000,생각보다맛있는집,서울 관악구 관악로 152,의정활동 및 의회운영 관련 업무휴대경비
의장,2019-01-11,185000,남원추어탕,서울 관악구 쑥고개로 135,의정활동 및 의회운영 관련 업무휴대경비
의장,2019-01-14,88000,남원추어탕,서울 관악구 쑥고개로 135,의정활동 및 의회운영 관련 업무휴대경비
의장,2019-01-15,25000,모리,서울 관악구 낙성대역길 111,의정활동 및 의회운영 관련 업무휴대경비
의장,2019-01-16,56000,생각보다맛있는집,서울 관악구 관악로 152,의정활동 및 의회운영 관련 업무휴대경비
의장,2019-01-17,71500,완산정,서울 관악구 봉천로 484,의정활동 및 의회운영 관련 업무휴대경비
의장,2019-01-18,144000,떡보의하루,서울 금천구 가산로 33,의회사무국 직원 생일 축하 물품 지급
의장,2019-01-18,264000,정가,서울 관악구 남부순환로 1710,의정활동 및 의회운영 관련 업무휴대경비
의장,2019-01-21,43000,감나무집,서울 관악구 관악로11길 20,의정활동 및 의회운영 관련 업무휴대경비
의장,2019-01-22,61000,제주은갈치,서울 관악구 관악로 139,의정활동 및 의회운영 관련 업무휴대경비
의장,2019-01-23,42000,별미집,서울 관악구 봉천로 604,의정활동 및 의회운영 관련 업무휴대경비
의장,2019-01-23,41200,쟝블랑제리,서울 관악구 낙성대역길 8,입원 의원 격려물품 구입 
의장,2019-01-23,340000,우리동네고기집,서울 관악구 인헌6길 24,의정활동 및 의회운영 관련 업무휴대경비
의장,2019-01-24,100000,감나무집,서울 관악구 관악로11길 20,의정활동 및 의회운영 관련 업무휴대경비
의장,2019-01-25,380000,우리동네고기집,서울 관악구 인헌6길 24,의정활동 및 의회운영 관련 업무휴대경비
의장,2019-01-28,1400000,신바람과일,서울 관악구 인헌길 14,의회사무국 직원 설명절 격려 물품 지급
의장,2019-01-29,164000,남원추어탕,서울 관악구 쑥고개로 135,의정활동 및 의회운영 관련 업무휴대경비
의장,2019-01-30,120000,감나무집,서울 관악구 관악로11길 20,의정활동 및 의회운영 관련 업무휴대경비
의장,2019-01-30,420000,우리동네고기집,서울 관악구 인헌6길 24,의정활동 및 의회운영 관련 업무휴대경비
의장,2019-01-31,66000,제주은갈치,서울 관악구 관악로 139,의정활동 및 의회운영 관련 업무휴대경비
부의장,2019-01-01,39000,바로수제햄부대찌개,서울 관악구 봉천로 378,의회운영 및  의정활동 관련 업무 유대경비
부의장,2019-01-03,188000,삼미옥,서울 관악구 남부순환로 1829-6,의회운영 및  의정활동 관련 업무 유대경비
부의장,2019-01-04,79000,제주은갈치,서울 관악구 관악로 139,의회운영 및  의정활동 관련 업무 유대경비
부의장,2019-01-05,198000,숨은집,서울 관악구 남부순환로 1713-5,의회운영 및  의정활동 관련 업무 유대경비
부의장,2019-01-06,33000,오장면옥,서울 관악구 봉천로 227,의회운영 및  의정활동 관련 업무 유대경비
부의장,2019-01-06,117800,더고기서울대맛집,서울 관악구 관악로16길 16,의회운영 및  의정활동 관련 업무 유대경비
부의장,2019-01-07,61000,동강염소탕,서울 관악구 남부순환로 1713,의회운영 및  의정활동 관련 업무 유대경비
부의장,2019-01-08,100000,아리차이,서울 관악구 신림동길 4,의회운영 및  의정활동 관련 업무 유대경비
부의장,2019-01-08,100000,김채원24시감자탕,서울 관악구 보라매로 8,의회운영 및  의정활동 관련 업무 유대경비
부의장,2019-01-09,30000,본죽,서울 관악구 관악로 144,의회운영 및  의정활동 관련 업무 유대경비
부의장,2019-01-10,110000,진우리독도참치,서울 관악구 봉천로 472,의회운영 및  의정활동 관련 업무 유대경비
부의장,2019-01-10,200000,미가할매집,서울 관악구 신림로 374,의회운영 및  의정활동 관련 업무 유대경비
부의장,2019-01-11,32550,파리바게뜨,서울 관악구 은천로 1,의회운영 및  의정활동 관련 업무 유대경비
부의장,2019-01-12,99800,애슐리서울대입구점,서울 관악구 남부순환로 1820,의회운영 및  의정활동 관련 업무 유대경비
부의장,2019-01-13,110000,은천식당,서울 관악구 봉천로 309,의회운영 및  의정활동 관련 업무 유대경비
부의장,2019-01-14,36000,추어탕전문점대령숙수,서울 관악구 봉천로 375,의회운영 및  의정활동 관련 업무 유대경비
부의장,2019-01-15,78000,소문난참숯불꼼장어,서울 관악구 봉천로 483,의회운영 및  의정활동 관련 업무 유대경비
부의장,2019-01-16,35000,신선설농탕,서울 관악구 관악로 163,의회운영 및  의정활동 관련 업무 유대경비
부의장,2019-01-18,44000,구수옥설렁탕,서울 관악구 남부순환로 1696,의회운영 및  의정활동 관련 업무 유대경비
부의장,2019-01-19,98000,숨은집,서울 관악구 남부순환로 1713-5,의회운영 및  의정활동 관련 업무 유대경비
부의장,2019-01-20,112000,명품횡성한우가,서울 관악구 봉천로 266,의회운영 및  의정활동 관련 업무 유대경비
부의장,2019-01-21,198000,추어탕전문점대령숙수,서울 관악구 봉천로 375,의회운영 및  의정활동 관련 업무 유대경비
부의장,2019-01-22,28000,당곡기사식당,서울 관악구 봉천로 301,의회운영 및  의정활동 관련 업무 유대경비
부의장,2019-01-23,200000,숨은집,서울 관악구 남부순환로 1713-5,의회운영 및  의정활동 관련 업무 유대경비
부의장,2019-01-24,20000,본죽,서울 관악구 남부순환로 1631-1,의회운영 및  의정활동 관련 업무 유대경비
부의장,2019-01-25,31000,장충동영양족발,서울 관악구 남부순환로 1672,의회운영 및  의정활동 관련 업무 유대경비
부의장,2019-01-26,60000,한근한방삼계탕,서울 관악구 봉천로 396,의회운영 및  의정활동 관련 업무 유대경비
부의장,2019-01-29,168000,서연,서울 관악구 보라매로3길 17,의회운영 및  의정활동 관련 업무 유대경비
부의장,2019-01-31,64000,양평해장국,서울 관악구 봉천로 380,의회운영 및  의정활동 관련 업무 유대경비
의회운영위원장,2019-01-09,154000,다리목,서울 관악구 신림로58가길 7,의정활동 및 상임위 관련 업무 간담회
의회운영위원장,2019-01-11,119000,미각 아구동태해물찜탕,서울 강서구 화곡로 216,의정활동 및 상임위 관련 업무 간담회
의회운영위원장,2019-01-14,100000,박승자당진아구동태찜탕,서울 관악구 난우길 20,의정활동 및 상임위 관련 업무 간담회
의회운영위원장,2019-01-15,305000,우리가참김치,서울 관악구 관악로 148,의정활동 및 상임위 관련 업무 간담회
의회운영위원장,2019-01-21,115000,강강술래,서울 관악구 남부순환로 1660,의정활동 및 상임위 관련 업무 간담회
의회운영위원장,2019-01-21,135000,나주오리종가,서울 관악구 신원로 15,의정활동 및 상임위 관련 업무 간담회
의회운영위원장,2019-01-21,43000,나주오리종가,서울 관악구 신원로 15,의정활동 및 상임위 관련 업무 간담회
의회운영위원장,2019-01-22,215000,남원추어탕,서울 관악구 쑥고개로 135,의정활동 및 상임위 관련 업무 간담회
의회운영위원장,2019-01-22,32000,김밥＆백반,서울 관악구 난곡로 234,의정활동 및 상임위 관련 업무 간담회
의회운영위원장,2019-01-23,52000,정육점식당,서울 관악구 관악로14길 27,의정활동 및 상임위 관련 업무 간담회
의회운영위원장,2019-01-29,390000,다리목,서울 관악구 신림로58가길 7,의정활동 및 상임위 관련 업무 간담회
의회운영위원장,2019-01-29,104000,정가,서울 관악구 남부순환로 1710,의정활동 및 상임위 관련 업무 간담회
의회운영위원장,2019-01-30,43000,남원추어탕,서울 관악구 쑥고개로 135,의정활동 및 상임위 관련 업무 간담회
의회운영위원장,2019-01-31,110000,우리집한식부페,서울 관악구 신림로 270,의정활동 및 상임위 관련 업무 간담회
행정재경위원장,2019-01-02,31000,고향순대국,서울 영등포구 디지털로 373,의정활동 및 상임위 관련 업무 간담회
행정재경위원장,2019-01-03,100000,(주)소명생고기,서울 금천구 시흥대로 264,의정활동 및 상임위 관련 업무 간담회
행정재경위원장,2019-01-06,45500,(주)송원마포갈비,서울 영등포구 도림로147길 2-1,의정활동 및 상임위 관련 업무 간담회
행정재경위원장,2019-01-07,86000,진갈비,서울 관악구 광신길 237,의정활동 및 상임위 관련 업무 간담회
행정재경위원장,2019-01-09,24000,바다양푼이동태탕,서울 관악구 난우길 28,의정활동 및 상임위 관련 업무 간담회
행정재경위원장,2019-01-09,67000,정담은보쌈,서울 관악구 남부순환로 1661,의정활동 및 상임위 관련 업무 간담회
행정재경위원장,2019-01-10,120000,안집,서울 관악구 관악로 128,의정활동 및 상임위 관련 업무 간담회
행정재경위원장,2019-01-12,183000,봉이구이대장,서울 관악구 난곡로 104,의정활동 및 상임위 관련 업무 간담회
행정재경위원장,2019-01-14,55000,바우네족발,서울 관악구 원신길 131,의정활동 및 상임위 관련 업무 간담회
행정재경위원장,2019-01-18,283000,보배곱창,서울 관악구 난곡로26길 10,의정활동 및 상임위 관련 업무 간담회
행정재경위원장,2019-01-22,120000,안집,서울 관악구 관악로 128,의정활동 및 상임위 관련 업무 간담회
행정재경위원장,2019-01-23,88000,통큰대박집,서울 관악구 원신길 11,의정활동 및 상임위 관련 업무 간담회
행정재경위원장,2019-01-24,28000,제주은갈치,서울 관악구 관악로 139,의정활동 및 상임위 관련 업무 간담회
행정재경위원장,2019-01-28,450000,통큰대박집,서울 관악구 원신길 11,의정활동 및 상임위 관련 업무 간담회
행정재경위원장,2019-01-30,137500,흑다우,서울 강남구 남부순환로 2921,의정활동 및 상임위 관련 업무 간담회
행정재경위원장,2019-01-31,100000,우리집한식부페,서울 관악구 신림로 270,의정활동 및 상임위 관련 업무 간담회
보건복지위원장,2019-01-04,145000,갯바위,서울 관악구 남부순환로216길 13,의정활동 및 상임위 관련 업무 간담회
보건복지위원장,2019-01-07,26000,콩심,서울 관악구 관악로 144,의정활동 및 상임위 관련 업무 간담회
보건복지위원장,2019-01-08,154000,제주은갈치,서울 관악구 관악로 139,의정활동 및 상임위 관련 업무 간담회
보건복지위원장,2019-01-09,54000,정가네왕갈비탕,서울 관악구 쑥고개로 116,의정활동 및 상임위 관련 업무 간담회
보건복지위원장,2019-01-10,95000,풍년옥,서울 관악구 관악로15길 9,의정활동 및 상임위 관련 업무 간담회
보건복지위원장,2019-01-11,285000,옥천골,서울 관악구 청룡7길 41,의정활동 및 상임위 관련 업무 간담회
보건복지위원장,2019-01-14,52000,숙이네생선구이,서울 관악구 청룡1길 19,의정활동 및 상임위 관련 업무 간담회
보건복지위원장,2019-01-15,53000,제주은갈치,서울 관악구 관악로 139,의정활동 및 상임위 관련 업무 간담회
보건복지위원장,2019-01-15,38000,정희네,서울 관악구 쑥고개로 100,의정활동 및 상임위 관련 업무 간담회
보건복지위원장,2019-01-18,41000,가야촌오리주물럭,서울 송파구 오금로 533,의정활동 및 상임위 관련 업무 간담회
보건복지위원장,2019-01-22,190000,옥천골,서울 관악구 청룡7길 41,의정활동 및 상임위 관련 업무 간담회
보건복지위원장,2019-01-25,75000,감나무집,서울 관악구 관악로11길 20,의정활동 및 상임위 관련 업무 간담회
보건복지위원장,2019-01-30,41500,청능장,서울 관악구 쑥고개로 112,의정활동 및 상임위 관련 업무 간담회
보건복지위원장,2019-01-31,215000,옥천골,서울 관악구 청룡7길 41,의정활동 및 상임위 관련 업무 간담회
도시건설위원장,2019-01-03,150000,우성각,서울 관악구 청림2길 2,의정활동 및 상임위 관련 업무 간담회
도시건설위원장,2019-01-07,44000,참이맛감자탕,서울 관악구 신림로 269,의정활동 및 상임위 관련 업무 간담회
도시건설위원장,2019-01-10,14000,진부령황태촌,서울 관악구 관악로 112,의정활동 및 상임위 관련 업무 간담회
도시건설위원장,2019-01-10,17250,파리바게뜨,서울 관악구 난곡로 263,의정활동 및 상임위 관련 업무 간담회
도시건설위원장,2019-01-11,374000,바달비,서울 관악구 봉천로12길 17,의정활동 및 상임위 관련 업무 간담회
도시건설위원장,2019-01-14,208000,박가네능이백숙삼계탕,서울 금천구 남부순환로 1372,의정활동 및 상임위 관련 업무 간담회
도시건설위원장,2019-01-16,125000,일구칠구매운탕,서울 관악구 신림로26길 5,의정활동 및 상임위 관련 업무 간담회
도시건설위원장,2019-01-19,54000,고려왕족발,서울 관악구 청룡길 9,의정활동 및 상임위 관련 업무 간담회
도시건설위원장,2019-01-22,173000,동태찜&코다리냉면,서울 관악구 난곡로 83,의정활동 및 상임위 관련 업무 간담회
도시건설위원장,2019-01-24,120000,만리장성,서울특별시 관악구 관악로 146,의정활동 및 상임위 관련 업무 간담회
도시건설위원장,2019-01-25,280000,감나무집,서울 관악구 관악로11길 20,의정활동 및 상임위 관련 업무 간담회
도시건설위원장,2019-01-26,200000,전주콩나물국밥,서울 관악구 난곡로 294-1,의정활동 및 상임위 관련 업무 간담회
도시건설위원장,2019-01-28,259000,남도전문음식점,서울 관악구 관악로28길 7,의정활동 및 상임위 관련 업무 간담회
도시건설위원장,2019-01-29,480000,감나무집,서울 관악구 관악로11길 20,의정활동 및 상임위 관련 업무 간담회
의장,2019-02-01,139000,남원추어탕,서울 관악구 쑥고개로 135,의정활동 및 의회운영 관련 업무유대경비
의장,2019-02-01,450000,우리동네고기집,서울 관악구 인헌6길 24,의정활동 및 의회운영 관련 업무유대경비
의장,2019-02-08,192000,정가,서울 관악구 남부순환로 1710,의정활동 및 의회운영 관련 업무유대경비
의장,2019-02-08,340000,우리동네고기집,서울 관악구 인헌6길 24,의정활동 및 의회운영 관련 업무유대경비
의장,2019-02-11,102000,제주은갈치,서울 관악구 관악로 139,의정활동 및 의회운영 관련 업무유대경비
의장,2019-02-12,320000,감나무집,서울 관악구 관악로11길 20,의정활동 및 의회운영 관련 업무유대경비
의장,2019-02-13,164000,제주은갈치,서울 관악구 관악로 139,의정활동 및 의회운영 관련 업무유대경비
의장,2019-02-14,39000,생각보다맛있는집,서울 관악구 관악로 152,의정활동 및 의회운영 관련 업무유대경비
의장,2019-02-15,300000,우리동네고기집,서울 관악구 인헌6길 24,의정활동 및 의회운영 관련 업무유대경비
의장,2019-02-18,63200,쟝블랑제리,서울 관악구 낙성대역길 8,제256회 임시회 운영 직원 격려 물품 구입
의장,2019-02-18,110000,명태어장,서울 관악구 남부순환로 1852,의정활동 및 의회운영 관련 업무유대경비
의장,2019-02-19,117000,쌈마을,서울 관악구 남부순환로226길 31,의정활동 및 의회운영 관련 업무유대경비
의장,2019-02-19,35000,모리,서울 관악구 낙성대역길 111,의정활동 및 의회운영 관련 업무유대경비
의장,2019-02-20,44000,남원추어탕,서울 관악구 쑥고개로 135,의정활동 및 의회운영 관련 업무유대경비
부의장,2019-02-01,198000,숨은집,서울 관악구 남부순환로 1713-5,의회운영 및 의정활동 관련 유대경비
부의장,2019-02-02,99000,명품횡성한우가,서울 관악구 봉천로 266,의회운영 및 의정활동 관련 유대경비
부의장,2019-02-03,190000,해물나라,서울 관악구 남부순환로 1674,의회운영 및 의정활동 관련 유대경비
부의장,2019-02-04,55000,구수옥설렁탕,서울 관악구 남부순환로 1696,의회운영 및 의정활동 관련 유대경비
부의장,2019-02-06,182000,은성숯불갈비,서울 관악구 남부순환로 1711,의회운영 및 의정활동 관련 유대경비
부의장,2019-02-06,46700,파리바게뜨,서울 관악구 은천로 1,의회운영 및 의정활동 관련 유대경비
부의장,2019-02-07,65000,당곡기사식당,서울 관악구 봉천로 301,의회운영 및 의정활동 관련 유대경비
부의장,2019-02-08,200000,미가할매집,서울 관악구 신림로 374,의회운영 및 의정활동 관련 유대경비
부의장,2019-02-08,130000,성암축산정육식당,서울 관악구 관천로 45,의회운영 및 의정활동 관련 유대경비
부의장,2019-02-09,15000,생각보다맛있는집,서울 관악구 관악로 152,의회운영 및 의정활동 관련 유대경비
부의장,2019-02-09,47000,목포부부아구찜,서울 관악구 남부순환로206길 5,의회운영 및 의정활동 관련 유대경비
부의장,2019-02-10,122000,아리차이,서울 관악구 신림동길 4,의회운영 및 의정활동 관련 유대경비
부의장,2019-02-11,112000,무한고기마을,서울 관악구 봉천로 304,의회운영 및 의정활동 관련 유대경비
부의장,2019-02-13,76000,할매보쌈,서울 관악구 신림로 351,의회운영 및 의정활동 관련 유대경비
부의장,2019-02-15,52500,흑룡강성,서울 관악구 쑥고개로 68-1,의회운영 및 의정활동 관련 유대경비
부의장,2019-02-17,131000,어시장,서울 관악구 봉천로25길 13,의회운영 및 의정활동 관련 유대경비
부의장,2019-02-18,88000,희전명가,서울 관악구 남부순환로180길 6,의회운영 및 의정활동 관련 유대경비
부의장,2019-02-19,200000,아리차이,서울 관악구 신림동길 4,의회운영 및 의정활동 관련 유대경비
부의장,2019-02-20,64000,구수옥설렁탕,서울 관악구 남부순환로 1696,의회운영 및 의정활동 관련 유대경비
부의장,2019-02-21,66000,신안바다장어,서울 관악구 봉천로 385,의회운영 및 의정활동 관련 유대경비
부의장,2019-02-22,93000,숨은집,서울 관악구 남부순환로 1713-5,의회운영 및 의정활동 관련 유대경비
부의장,2019-02-23,116000,아리차이,서울 관악구 신림동길 4,의회운영 및 의정활동 관련 유대경비
부의장,2019-02-25,89000,제주은갈치,서울 관악구 관악로 139,의회운영 및 의정활동 관련 유대경비
부의장,2019-02-27,100000,풍성구이,서울 관악구 보라매로 23,의회운영 및 의정활동 관련 유대경비
부의장,2019-02-28,18000,본죽,서울 관악구 남부순환로 1741,의회운영 및 의정활동 관련 유대경비
의회운영위원장,2019-02-01,33000,서울김밥,서울 관악구 신림로 328,의정활동 및 상임위 관련 업무 간담회
의회운영위원장,2019-02-08,38000,풍년집,서울 관악구 난곡로 232,의정활동 및 상임위 관련 업무 간담회
의회운영위원장,2019-02-08,35000,오성손만두,서울 관악구 난곡로 233,의정활동 및 상임위 관련 업무 간담회
의회운영위원장,2019-02-18,117000,남도식당,서울 관악구 청룡2길 3,의정활동 및 상임위 관련 업무 간담회
의회운영위원장,2019-02-21,130000,장수생삼겹살,서울 관악구 신림로73길 5,의정활동 및 상임위 관련 업무 간담회
의회운영위원장,2019-02-22,124000,고기킹,서울 관악구 봉천로 421,의정활동 및 상임위 관련 업무 간담회
의회운영위원장,2019-02-28,77000,북경반점,서울 관악구 남부순환로 1620,의정활동 및 상임위 관련 업무 간담회
행정재경위원장,2019-02-02,318000,통큰대박집,서울 관악구 원신길 11,의정활동 및 상임위 관련 업무 간담회
행정재경위원장,2019-02-08,136000,낙지마을해물구이,서울 관악구 봉천로 469-1,의정활동 및 상임위 관련 업무 간담회
행정재경위원장,2019-02-11,17400,SEROTONIN,서울 관악구 신림로22길 13,의정활동 및 상임위 관련 업무 간담회
