사용장소,방문횟수,사용금액,카테고리,주소,lat,lng
가마솥,4,224000,보양식,서울 관악구 관악로17길 13 가마솥,37.480721,126.9510015
감나무집,33,6527500,한식,서울 관악구 관악로11길 20 감나무집,37.4779063,126.9510024
강강술래,21,5068500,고기,서울 관악구 남부순환로 1660 강강술래,37.4846036,126.9350585
강촌민물매운탕2호점,7,547000,해물,서울 동작구 보라매로5길 15 강촌민물매운탕2호점,37.4980977,126.9207548
갯바위,6,458000,해물,서울 관악구 남부순환로216길 13 갯바위,37.4808405,126.9491095
거목쟁반짜장,8,136500,중식,서울 관악구 난우길 45 거목쟁반짜장,37.476604,126.9169979
고려왕족발,5,351000,고기,서울특별시 관악구 청룡길 9 고려왕족발,37.4814642,126.9463416
고창복의낙지세상,11,1183000,해물,서울 관악구 남부순환로 1725 고창복의낙지세상,37.4826174,126.9418374
구수옥설렁탕,9,586000,국밥류,서울 관악구 남부순환로 1696 구수옥설렁탕,37.4834084,126.9384944
그린파크식당,5,1600000,한식,인천 옹진군 백령면 백령로297번길 16 그린파크식당,37.9710576,124.7154316
금비,12,2756000,고기,서울 관악구 신림로 164 금비,37.4732399,126.9341709
기절초풍왕순대,4,119000,국밥류,서울 관악구 봉천로62길 2 기절초풍왕순대,37.4781513,126.958333
김가네,9,617500,분식,서울 관악구 관악로 152 김가네,37.4786593,126.9525782
김밥,5,1021000,분식,서울 서초구 사임당로 21 김밥,37.4939308,127.0117274
김밥천국,6,347000,분식,서울 관악구 난곡로24길 2 김밥천국,37.4697681,126.9202845
나주곰탕,12,928500,국밥류,서울 관악구 관악로 167 나주곰탕,37.4802714,126.9522176
나주오리종가,4,457000,고기,서울 관악구 신원로 15 나주오리종가,37.4807296,126.9276331
남도전문음식점,5,1188000,해물,서울 관악구 관악로28길 7 남도전문음식점,37.4853412,126.9565108
남원추어탕,33,3146000,보양식,서울 관악구 쑥고개로 135 남원추어탕,37.4789062,126.9515579
다리목,12,2760000,한식,서울 관악구 신림로58가길 7 다리목,37.4820993,126.9310248
당곡기사식당,11,846000,한식,서울 관악구 봉천로 301 당곡기사식당,37.48684050000001,126.9344049
대호아구집,7,456000,해물,서울 관악구 남부순환로 1829-9 대호아구집,37.4815009,126.9536515
동강염소탕,4,403000,보양식,서울 관악구 남부순환로 1713 동강염소탕,37.4830887,126.9406408
등갈비연탄구이,4,434000,고기,서울 관악구 원신길 157 등갈비연탄구이,37.4899341,126.9183806
떡보의하루,22,3453600,카페&디저트,서울 금천구 가산로 33 떡보의하루,37.471137,126.8991644
마켓동광,4,184000,카페&디저트,서울 서초구 명달로8길 10 마켓동광,37.4815914,127.0057085
만리장성,21,2247000,중식,서울 관악구 관악로 146 만리장성,37.4782292,126.9524798
맘스터치,6,145600,기타,서울 관악구 양녕로 43 맘스터치,37.4859263,126.9468062
먹쉬돈나,6,283000,분식,서울 관악구 남부순환로220길 49 먹쉬돈나,37.4789856,126.9518829
메밀꽃밭언덕너머,9,445500,면류,서울 관악구 관악로 138 메밀꽃밭언덕너머,37.4774917,126.9527019
명태어장,10,889000,해물,서울 관악구 남부순환로 1852 명태어장,37.4798571,126.9555667
명품횡성한우가,13,3230000,고기,서울 관악구 봉천로 266 명품횡성한우가,37.4878658,126.9305152
모리,6,160000,카페&디저트,서울 관악구 낙성대역길 111 모리,37.4740612,126.9648388
목포부부아구찜,7,747000,해물,서울 관악구 남부순환로206길 5 목포부부아구찜,37.481949,126.9419605
