"캠페인보고서(2021.10.01.~2021.12.31.),colosseumkr:naver",,,,,,,,,,,,,
캠페인유형,캠페인,광고그룹,소재,키워드,노출수,클릭수,클릭률(%),"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",평균노출순위,전환수,전환율(%),전환당비용(원)
파워링크,2_주력 상품,①_풀필먼트,nad-a001-01-000000152214505,11번가물류,43,0,0,0,0,1.6,0,0,0
파워링크,2_주력 상품,①_풀필먼트,nad-a001-01-000000152214505,3자물류,10,0,0,0,0,21.4,0,0,0
파워링크,2_주력 상품,①_풀필먼트,nad-a001-01-000000152214505,3자물류견적,404,0,0,0,0,5.5,0,0,0
파워링크,2_주력 상품,①_풀필먼트,nad-a001-01-000000152214505,3자물류대행,708,0,0,0,0,11.1,0,0,0
파워링크,2_주력 상품,①_풀필먼트,nad-a001-01-000000152214505,3자물류비용,657,0,0,0,0,9,0,0,0
파워링크,2_주력 상품,①_풀필먼트,nad-a001-01-000000152214505,3자물류업체,28,0,0,0,0,14.4,0,0,0
파워링크,2_주력 상품,①_풀필먼트,nad-a001-01-000000152214505,3자물류창고,396,0,0,0,0,8.2,0,0,0
파워링크,2_주력 상품,①_풀필먼트,nad-a001-01-000000152214505,3자물류회사,389,0,0,0,0,9.3,0,0,0
파워링크,2_주력 상품,①_풀필먼트,nad-a001-01-000000152214505,4자물류,79,0,0,0,0,13,0,0,0
파워링크,2_주력 상품,①_풀필먼트,nad-a001-01-000000152214505,60평창고임대,1,0,0,0,0,6,0,0,0
파워링크,2_주력 상품,①_풀필먼트,nad-a001-01-000000152214505,B2B배송대행,88,0,0,0,0,4.5,0,0,0
파워링크,2_주력 상품,①_풀필먼트,nad-a001-01-000000152214505,B2C물류,22,1,4.55,110,110,11.7,0,0,0
파워링크,2_주력 상품,①_풀필먼트,nad-a001-01-000000152214505,DM발송,6,0,0,0,0,6.5,0,0,0
파워링크,2_주력 상품,①_풀필먼트,nad-a001-01-000000152214505,DM발송업체,750,3,0.4,535,"1,606",6.1,0,0,0
파워링크,2_주력 상품,①_풀필먼트,nad-a001-01-000000152214505,E커머스,30,0,0,0,0,4.2,0,0,0
파워링크,2_주력 상품,①_풀필먼트,nad-a001-01-000000152214505,FULFILLMENT,"2,470",0,0,0,0,7.9,0,0,0
파워링크,2_주력 상품,①_풀필먼트,nad-a001-01-000000152214505,LOGISTICS,"7,600",1,0.02,"1,100","1,100",2.5,0,0,0
파워링크,2_주력 상품,①_풀필먼트,nad-a001-01-000000152214505,NFA,"1,252",0,0,0,0,1.9,0,0,0
파워링크,2_주력 상품,①_풀필먼트,nad-a001-01-000000152214505,PE포장,100,0,0,0,0,7.3,0,0,0
