Source,Week,Spend,CPI,Impression,Click,Install,Purchase,Sales,Cost per Purchase,LTV
A,1," $ 3,481.6 ", $ 14.04 ,"  113,348 ",  491 ,  248 ,49, $ 715.14 , $ 71.05 , $ 2.17 
A,2," $ 2,804.0 ", $ 18.57 ,"  92,149 ",  359 ,  151 ,26, $ 396.69 , $ 107.84 , $ 1.98 
A,3," $ 2,550.1 ", $ 15.36 ,"  102,420 ",  429 ,  166 ,23, $ 277.39 , $ 110.87 , $ 1.30 
B,1," $ 1,826.6 ", $ 2.55 ,"  349,493 ","  11,691 ",  717 ,1, $ 6.87 ," $ 1,826.61 ", $ 0.16 
B,2," $ 1,417.9 ", $ 2.22 ,"  321,994 ","  11,797 ",  640 ,2, $ 10.21 , $ 708.95 , $ 0.15 
B,3," $ 1,452.5 ", $ 2.48 ,"  325,825 ","  11,748 ",  585 ,1, $ 6.83 ," $ 1,452.49 ", $ 0.14 
C,1, $ 801.0 , $ 2.72 ,"  25,535 ",  359 ,  294 ,1, $ 6.61 , $ 801.00 , $ 0.18 
C,2, $ 793.0 , $ 2.59 ,"  21,245 ",  364 ,  306 ,1, $ 5.76 , $ 793.00 , $ 0.18 
C,3," $ 1,171.0 ", $ 2.78 ,"  39,080 ",  516 ,  421 ,2, $ 10.03 , $ 585.50 , $ 0.17 
D,1," $ 3,525.4 ", $ 3.93 ,"  274,921 ","  31,737 ",  897 ,0, $ -   , $ -   , $ 0.21 
D,2," $ 3,042.7 ", $ 4.58 ,"  149,653 ","  21,113 ",  664 ,7, $ 145.26 , $ 434.68 , $ 0.34 
D,3," $ 1,912.7 ", $ 4.12 ,"  77,416 ","  12,525 ",  464 ,2, $ 34.60 , $ 956.36 , $ 0.22 
E,1," $ 2,098.0 ", $ 9.85 ,"  131,223 ",  889 ,  213 ,33, $ 526.14 , $ 63.58 , $ 1.94 
E,2," $ 2,097.0 ", $ 13.02 ,"  138,881 ",  808 ,  161 ,22, $ 263.26 , $ 95.32 , $ 1.33 
E,3," $ 1,254.7 ", $ 13.21 ,"  84,992 ",  504 ,  95 ,6, $ 88.19 , $ 209.11 , $ 0.82 
F,1," $ 8,103.4 ", $ 7.69 ,"  4,113,927 ","  40,306 ","  1,054 ",94," $ 1,386.94 ", $ 86.21 , $ 1.13 
F,2," $ 4,216.6 ", $ 7.30 ,"  911,325 ","  15,190 ",  578 ,32, $ 452.56 , $ 131.77 , $ 0.74 
F,3," $ 4,217.0 ", $ 6.99 ,"  1,214,131 ","  19,141 ",  603 ,32, $ 452.96 , $ 131.78 , $ 0.69 
G,1," $ 4,200.0 ", $ 2.97 ,"  286,913 ","  56,981 ","  1,416 ",13, $ 160.70 , $ 323.08 , $ 0.24 
G,2," $ 7,600.0 ", $ 3.18 ,"  540,569 ","  111,038 ","  2,388 ",52, $ 488.66 , $ 146.15 , $ 0.29 
G,3," $ 6,800.0 ", $ 3.59 ,"  638,409 ","  100,261 ","  1,892 ",19, $ 201.34 , $ 357.89 , $ 0.28 
,,,,,,,,,,
* LTV를 포함한 모든 매출 관련 데이터는 D0 기준 입니다.,,,,,,,,,,
