id,date,rating,userName,content,eval
13,2021-12-11,3,김강희,몇 년 전 호두 잉글리시 플레이했던 유저입니다. 그림체 보고 바로 알아봤네요. 당시 스토리 업데이트가 느리고 온갖 오류가 난무해서 이용날짜가 상당히 남아있었음에도 불구하고 플레이를 관뒀던 기억이 있습니다. 많이 개선되었을까요? 그때는 이용권을 구매하고 진행했었는데 이번에는 결제가 필요없는건지 궁금해서 다시 한 번 해봅니다ㅎ,negative
16,2021-12-20,3,Merry JJ,말을 하는데 못 알아 듣고요 긴 글씨는 읽을 시간을 줘야하는데 시간도 너무 적은거 같아요. 이런 점이 아쉽네요. 애들이 하기엔 AI가 말하는게 너무 빠르네요 따라 말하기도 어려워요. 이런 점 빼고는 다 괜찮네요.,negative
26,2022-02-04,1,한채원,"오마이비키 광고 보고 재미있어 보여서 바로 설치했는데 머..영어 퀴즈 몇게하고 나니까 로그인,비밀번호,회원가입 하라고하는데 그거 꼭 해야하나요?돼게 화나는 점이 자동 로그인 눌렀더니 안돼더라고요 저는 제작자님이 답글하거나 이 점들 안봐꺼 주시면 플레이 안할거에요!!!!!!!!!!!!!!!!!!!!!!!",negative
31,2021-12-03,1,Jin Yeong Lim,아직 출시된 지 얼마 안되어서 그런건지 모르겠지만 깔고 1분도 되지않고 작성하는 후기입니다. 음성인식 프로그램을 뭘 쓰시는지는 모르겠지만 따라 읽는 부분을 아무리 해도 인식이 안되네요. 회화문장으로 연결되는것 좋은데 인식이 안되니 처음에 이 부분의 진입장벽이 높아 유저들이 결국 삭제를 할 어플이 될까봐 후기를 남깁니다.,negative
39,2021-12-16,1,개콩이,설치 후 들어가니까 자꾸 최신앱을 사용하래요! 업데이트 안 됐다구.. 그래서 삭제하고 다시 설치했는데도 같은 문구가 떠요.. 해보고싶어요. 빠른 개선 부탁,negative
50,2021-12-17,3,김지혜,로그인했는데 캐릭터 생성부터 막히네요... 호두 피시랑 모바일 둘다하고 있는데 ... 사람많을때는 피시나 모바일도 매번 렉걸려요ㅜㅜ,negative
60,2022-02-06,1,허성은,진짜 짜증나게 한나 있어요 기억 다시 나게하는 거기에서 한번 따라서 계속해도 안된서 배터리 다 나갔어요 아 진짜 Zㅏ쯩나게 이게 절대로 깔지마세요 아진짜 오늘 깔아는데--,negative
61,2021-12-06,3,JungHoon Lee,디노가 I can't hear you! 라면서 더 이상 진행이 안되네요. 마이크 소리를 인식하지 못하는 것 같네요. 혹시나 싶어 테스트해보니 구글 음성인식도 음성 녹음도 잘됩니다.,negative
68,2021-12-06,1,최미순,깔고 바로 실행하는데 ㅜㅜ 음성인식이 안되네요. 겨우 하나 넘기고 계속 안되니 애가 짜증내고 ㅜㅜ 제가 해도 안되고,negative
72,2022-02-11,1,유복순,저는 이 앱을 플래이 하려고 했는데 최신 기술로 업데이트 하라고해서 업데이트하려는데 업데이트 어떻게 하는 거예요?(아직 플래이도 못 해봄),negative
