사용장소,주소,사용금액,lat,lng,거리
#207,서울 관악구 원신길 128 #207,27200,37.5062485,126.9139521,4559.495385186744
(주)소명생고기,서울 금천구 시흥대로 264 (주)소명생고기,100000,37.4572027,126.8999277,5111.949203925282
(주)송원마포갈비,서울 영등포구 도림로147길 2-1 (주)송원마포갈비,45500,37.51664359999999,126.889236,6969.21168501084
(주)신세계페이먼츠,서울 중구 남대문시장10길 2 (주)신세계페이먼츠,546290,37.5603331,126.9829626,9555.694238954042
(주)신화아이푸드,충청북도 청주시 서원구 1순환로 886 (주)신화아이푸드,469500,36.6166154,127.4698355,106263.7975271029
(주)영풍안성상휴게,경기 안성시 원곡면 경부고속도로 372 (주)영풍안성상휴게,157000,37.0767919,127.1324401,47407.03977475644
11번가,서울 중구 한강대로 416 11번가,232240,37.5552519,126.9736873,8799.442712519218
406CAFE,서울 관악구 신림로29길 3-7 406CAFE,6500,37.4746034,126.9345131,1550.4930543341495
GS슈퍼마켓,서울 관악구 봉천로 576 GS슈퍼마켓,19360,37.4769621,126.9612792,869.9857033674522
GS슈퍼마켓,서울 관악구 쑥고개로 111 GS슈퍼마켓,362320,37.4793076,126.9489828,261.71457134496325
KFC,서울 관악구 남부순환로 1735 KFC,19200,37.4825001,126.9430337,895.1636752880831
KSNET,서울 강남구 테헤란로103길 9 KSNET,60000,37.5100433,127.0638239,10525.229135305191
SEROTONIN,서울 관악구 신림로22길 13 SEROTONIN,17400,37.4719269,126.9353963,1579.8070435622824
SOME801,서울 관악구 관악로14길 105 SOME801,48000,37.477829,126.9582338,592.8257890623655
㈜배다리문화원,강원 강릉시 운정길 63 ㈜배다리문화원,60000,37.7865935,128.8851277,173691.45763558667
가마솥,서울 관악구 관악로17길 13 가마솥,70000,37.480721,126.9510015,295.7257461338963
가마솥,서울 관악구 청룡1길 2 가마솥,154000,37.4811026,126.9463662,564.8550514241209
가마솥삼계탕,서울 관악구 대학6길 22 가마솥삼계탕,35000,37.4691768,126.9364372,1660.0441444370936
가빈,서울 관악구 신림로 158 가빈,28500,37.4728834,126.9338393,1664.6855299666672
가야촌오리주물럭,서울 송파구 오금로 533 가야촌오리주물럭,41000,37.4930311,127.1482337,17435.779194541516
가야촌유황오리,서울 관악구 봉천로 407 가야촌유황오리,71000,37.4831277,126.9451973,790.5389721903393
가온매운갈비찜,서울 서초구 서초대로48길 107 가온매운갈비찜,180000,37.4882139,127.0127318,5516.769648131386
가츠몽,서울 관악구 관악로 169 가츠몽,10000,37.4803628,126.9522379,260.02565874895106
감격시대,서울 서초구 서초대로50길 104 감격시대,220000,37.4885217,127.0137166,5608.830802095596
감나무집,서울 관악구 관악로11길 20 감나무집,6527500,37.4779063,126.9510024,50.53855773753564
