,2022-01-01 ~ 2022-01-31,,,,,,,,,
,키워드,지출,노출,클릭 ,CTR,CPC,CPA,구매,매출,ROAS
,SIRLOIN한우, ₩ 77 ,  3 ,  1 ,33.33%, ₩ 77 , ₩ 6 ,  14 ,"  375,011 ",487027.27%
,명절선물한우, ₩ 682 ,  9 ,  1 ,11.11%, ₩ 682 , ₩ 85 ,  8 ,"  325,007 ",47654.99%
,설로인안심," ₩ 3,685 ",  28 ,  6 ,21.43%, ₩ 614 , ₩ 461 ,  8 ,"  336,007 ",9118.24%
,명절선물," ₩ 231,792 ","  18,616 ",  73 ,0.39%," ₩ 3,175 "," ₩ 57,948 ",  4 ,"  14,545,516 ",6275.25%
,투뿔등심," ₩ 7,645 ","  2,465 ",  7 ,0.28%," ₩ 1,092 ", ₩ 695 ,  11 ,"  370,009 ",4839.88%
,프리미엄소고기," ₩ 12,397 ",  100 ,  17 ,17.00%, ₩ 729 , ₩ 443 ,  28 ,"  497,625 ",4014.08%
,한우갈비살," ₩ 39,061 ","  2,276 ",  19 ,0.83%," ₩ 2,056 "," ₩ 4,883 ",  8 ,"  1,541,561 ",3946.55%
,르통," ₩ 2,068 ",  94 ,  7 ,7.45%, ₩ 295 , ₩ 414 ,  5 ,"  77,004 ",3723.60%
,프라임소고기," ₩ 61,138 ","  2,544 ",  61 ,2.40%," ₩ 1,002 "," ₩ 3,596 ",  17 ,"  1,251,651 ",2047.26%
,한우꽃등심," ₩ 182,622 ","  7,869 ",  120 ,1.52%," ₩ 1,522 "," ₩ 36,524 ",  5 ,"  2,659,845 ",1456.48%
,한우구이선물세트," ₩ 17,237 ",  110 ,  8 ,7.27%," ₩ 2,155 "," ₩ 4,309 ",  4 ,"  155,003 ",899.25%
,선물세트," ₩ 650,254 ","  24,550 ",  185 ,0.75%," ₩ 3,515 "," ₩ 65,025 ",  10 ,"  5,694,556 ",875.74%
,설로인한우," ₩ 355,663 ","  5,335 ",  179 ,3.36%," ₩ 1,987 "," ₩ 4,680 ",  76 ,"  2,969,563 ",834.94%
,한우소고기," ₩ 37,477 ",  811 ,  28 ,3.45%," ₩ 1,338 "," ₩ 2,883 ",  13 ,"  302,711 ",807.72%
,안심스테이크," ₩ 63,580 ","  8,312 ",  90 ,1.08%, ₩ 706 ," ₩ 7,948 ",  8 ,"  505,689 ",795.36%
,한우선물," ₩ 122,936 ","  1,991 ",  47 ,2.36%," ₩ 2,616 "," ₩ 3,966 ",  31 ,"  941,226 ",765.62%
,설로인선물세트," ₩ 58,344 ","  1,614 ",  51 ,3.16%," ₩ 1,144 "," ₩ 2,431 ",  24 ,"  435,021 ",745.61%
,한우차돌박이," ₩ 45,298 ","  2,596 ",  33 ,1.27%," ₩ 1,373 "," ₩ 15,099 ",  3 ,"  320,000 ",706.43%
,1등급한우," ₩ 336,633 ","  7,703 ",  128 ,1.66%," ₩ 2,630 "," ₩ 37,404 ",  9 ,"  1,987,000 ",590.26%
,프리미엄한우," ₩ 32,175 ",  371 ,  30 ,8.09%," ₩ 1,073 "," ₩ 2,925 ",  11 ,"  185,010 ",575.01%
,샤퀴테리," ₩ 13,915 ","  4,120 ",  34 ,0.83%, ₩ 409 ," ₩ 3,479 ",  4 ,"  70,003 ",503.08%
,이유식소고기," ₩ 66,792 ","  2,537 ",  59 ,2.33%," ₩ 1,132 "," ₩ 4,771 ",  14 ,"  305,985 ",458.12%
