20대_남성_고기,지출,노출,클릭,웹 사용자,CTR,CPC,CPA,CVR,구매,매출,ROAS
2060_구매관심_목살과삼겹_SI+C,"448,628","49,412",184,151,,,,6.6%,10,"2,227,240",
2060_구매관심_벽돌같음1_SI+C,"2,366,462","228,365","1,333","1,093",,,,8.9%,97,"14,642,250",
2060_주류&고기_돼지꼬치영상211102_SI+C,"916,199","50,671",593,486,,,,6.6%,32,"7,884,640",
고기_관심_구매유사타겟 _차돌박이_굽는영상0803,"5,954,265","366,727","2,890","2,370",,,,4.5%,107,"26,653,768",
고기_관심_구매유사타겟_차돌영상재편집_특수,"5,532,970","413,440","7,085","5,810",,,,2.0%,119,"10,140,934",
고기관심_배너_1차얼리버드_주황C_02,"182,863","8,137",15,12,,,,32.5%,4,"148,400",
고기관심_배너_2차정규판매_주황A,"934,972","41,558",227,186,,,,17.2%,32,"5,489,300",
고기관심_배너_2차정규판매_파랑B,"1,028,516","63,533",170,139,,,,17.2%,24,"1,925,580",
고기관심_영상_1차얼리버드_SNS용_정방,"158,492","8,254",45,37,,,,5.4%,2,"229,540",
고기관심_영상_공통_포커스미디어영상_02,"4,608,241","249,648","1,542","1,264",,,,13.6%,172,"27,487,180",
고기관심_카드뉴스후기_02,"3,396,994","174,212",697,572,,,,22.2%,127,"22,382,106",
기관심_배너_2차정규판매_주황A_02,"1,445,739","64,936",268,220,,,,24.6%,54,"9,069,990",
남녀_공통_상시이벤배너_칼집등심_SI+C,"232,269","12,781",69,57,,,,1.8%,1,"205,700",
남녀_공통_싱시이벤배너_안심카테,"833,225","55,653",413,339,,,,5.6%,19,"1,758,900",
