검색 키워드111,,,,,,,,,,,,,,,
2021년 10월 1일 (금) - 2021년 12월 31일 (금),,,,,,,,,,,,,,,
캠페인,광고그룹,검색 키워드,Google 검색 키워드 검색 유형,통화 코드,클릭수,노출수,클릭률(CTR),평균 CPC,비용,노출수(절대 상단) %,노출수(상단) %,전환,조회 후 전환,전환당비용,전환율
1_브랜드 키워드,①_브랜드 키워드,'콜로세움',확장검색,KRW,439,"8,279",5.30%,145,63511,82.38%,94.81%,0,0, --,0.00%
2_주력 상품,②_드랍쉬핑,해외직구,확장검색,KRW,404,"20,330",1.99%,269,108856,7.63%,83.20%,0,0, --,0.00%
2_주력 상품,②_드랍쉬핑,알리직구,확장검색,KRW,219,"45,469",0.48%,253,55451,3.34%,95.85%,0,0, --,0.00%
3_비주력 상품,②_택배,택배,확장검색,KRW,213,"43,989",0.48%,295,62764,10.38%,59.10%,0,0, --,0.00%
2_주력 상품,④_냉장냉동,컬리배송,확장검색,KRW,209,"30,842",0.68%,250,52234,1.01%,95.06%,0,0, --,0.00%
2_주력 상품,①_풀필먼트,상품,확장검색,KRW,206,"14,494",1.42%,187,38553,11.53%,38.82%,0,0, --,0.00%
3_비주력 상품,①_창고,'창고',확장검색,KRW,191,"21,807",0.88%,284,54248,2.47%,26.04%,0,0, --,0.00%
1_브랜드 키워드,①_브랜드 키워드,콜로세움코퍼레이션,구문검색,KRW,189,626,30.19%,119,22406,79.67%,93.72%,0,0, --,0.00%
2_주력 상품,②_드랍쉬핑,도매업,확장검색,KRW,173,"7,254",2.38%,235,40595,2.31%,29.62%,0,0, --,0.00%
2_주력 상품,①_풀필먼트,물류,확장검색,KRW,171,"24,354",0.70%,245,41816,2.79%,20.41%,0,0, --,0.00%
3_비주력 상품,②_택배,택배배송,확장검색,KRW,160,"17,546",0.91%,353,56488,22.19%,71.68%,0,0, --,0.00%
2_주력 상품,④_냉장냉동,밀키트,확장검색,KRW,159,"22,533",0.71%,271,43085,7.65%,67.81%,0,0, --,0.00%
2_주력 상품,①_풀필먼트,보관,확장검색,KRW,153,"18,839",0.81%,236,36096,2.05%,8.19%,0,0, --,0.00%
2_주력 상품,①_풀필먼트,포장,확장검색,KRW,124,"18,225",0.68%,234,29012,0.93%,17.20%,0,0, --,0.00%
2_주력 상품,②_드랍쉬핑,아마존셀러,확장검색,KRW,116,"27,090",0.43%,273,31654,12.91%,88.88%,0,0, --,0.00%
2_주력 상품,②_드랍쉬핑,타오바오대행,확장검색,KRW,100,"5,525",1.81%,270,26979,10.03%,91.42%,0,0, --,0.00%
3_비주력 상품,②_택배,택배조회,확장검색,KRW,98,"8,889",1.10%,328,32121,24.60%,84.31%,0,0, --,0.00%
2_주력 상품,③_3PL/4PL,3PL,확장검색,KRW,89,"2,662",3.34%,243,21592,1.88%,27.12%,0,0, --,0.00%
2_주력 상품,①_풀필먼트,무역,확장검색,KRW,76,"10,181",0.75%,229,17396,1.87%,15.06%,0,0, --,0.00%
2_주력 상품,④_냉장냉동,냉장냉동,확장검색,KRW,71,"7,088",1.00%,236,16746,3.88%,27.37%,0,0, --,0.00%
2_주력 상품,②_드랍쉬핑,타오바오직구,확장검색,KRW,67,"3,811",1.76%,266,17815,9.51%,94.45%,0,0, --,0.00%
2_주력 상품,②_드랍쉬핑,해외배송,확장검색,KRW,64,"7,459",0.86%,262,16764,4.32%,46.47%,0,0, --,0.00%
2_주력 상품,②_드랍쉬핑,해외구매대행,확장검색,KRW,58,"5,399",1.07%,268,15516,7.63%,61.87%,0,0, --,0.00%
2_주력 상품,②_드랍쉬핑,타오바오구매대행,확장검색,KRW,57,"1,981",2.88%,276,15707,6.83%,94.88%,0,0, --,0.00%
3_비주력 상품,②_택배,택배물류,확장검색,KRW,55,"5,665",0.97%,297,16355,7.50%,37.50%,0,0, --,0.00%
1_브랜드 키워드,①_브랜드 키워드,콜로세움물류,구문검색,KRW,51,108,47.22%,247,12577,48.96%,92.71%,0,0, --,0.00%
2_주력 상품,④_냉장냉동,냉동식품,확장검색,KRW,50,"4,267",1.17%,265,13263,5.87%,33.87%,0,0, --,0.00%
2_주력 상품,①_풀필먼트,냉동보관,확장검색,KRW,49,"8,923",0.55%,236,11552,0.00%,0.00%,0,0, --,0.00%
2_주력 상품,④_냉장냉동,스티로폼 박스,확장검색,KRW,48,"1,306",3.68%,269,12908,9.13%,55.20%,0,0, --,0.00%
3_비주력 상품,③_기타,물류대행,확장검색,KRW,47,"1,915",2.45%,318,14927,5.50%,33.65%,0,0, --,0.00%
2_주력 상품,④_냉장냉동,냉장냉동창고,확장검색,KRW,46,"1,531",3.00%,257,11802,1.13%,24.94%,0,0, --,0.00%
2_주력 상품,①_풀필먼트,STORAGE,확장검색,KRW,46,"2,265",2.03%,209,9634,0.00%,18.52%,0,0, --,0.00%
1_브랜드 키워드,①_브랜드 키워드,콜로세움풀필먼트,구문검색,KRW,46,122,37.70%,439,20183,56.41%,93.16%,0,0, --,0.00%
2_주력 상품,②_드랍쉬핑,중국직구대행,확장검색,KRW,44,"1,243",3.54%,275,12116,8.86%,92.85%,0,0, --,0.00%
2_주력 상품,①_풀필먼트,기업물류,확장검색,KRW,44,"3,356",1.31%,254,11193,2.38%,21.43%,0,0, --,0.00%
2_주력 상품,③_3PL/4PL,4PL,확장검색,KRW,41,656,6.25%,236,9662,5.05%,24.41%,0,0, --,0.00%
2_주력 상품,④_냉장냉동,드라이아이스,확장검색,KRW,41,"9,069",0.45%,251,10309,7.01%,31.19%,0,0, --,0.00%
2_주력 상품,④_냉장냉동,냉동창고,확장검색,KRW,41,"3,194",1.28%,235,9642,0.86%,17.14%,1,0,9642,2.44%
3_비주력 상품,③_기타,팔레트,확장검색,KRW,40,"7,206",0.56%,258,10305,8.88%,55.62%,0,0, --,0.00%
2_주력 상품,④_냉장냉동,저온창고,확장검색,KRW,37,"2,757",1.34%,248,9160,0.79%,40.16%,0,0, --,0.00%
3_비주력 상품,②_택배,택배배송조회,확장검색,KRW,36,"2,809",1.28%,334,12035,26.24%,80.23%,0,0, --,0.00%
2_주력 상품,④_냉장냉동,냉동냉장고,확장검색,KRW,35,"1,385",2.53%,214,7503,2.90%,26.09%,0,0, --,0.00%
2_주력 상품,①_풀필먼트,LOGISTICS,확장검색,KRW,34,"1,821",1.87%,183,6233,6.59%,33.28%,0,0, --,0.00%
2_주력 상품,①_풀필먼트,물류관리시스템,확장검색,KRW,34,"1,054",3.23%,257,8745,0.68%,9.57%,0,0, --,0.00%
2_주력 상품,②_드랍쉬핑,중국배송대행,확장검색,KRW,34,890,3.82%,262,8895,13.52%,84.95%,0,0, --,0.00%
2_주력 상품,④_냉장냉동,신선식품배송,확장검색,KRW,33,"4,597",0.72%,249,8229,3.28%,30.27%,0,0, --,0.00%
2_주력 상품,④_냉장냉동,콜드체인,확장검색,KRW,33,"1,374",2.40%,237,7834,0.37%,3.23%,0,0, --,0.00%
2_주력 상품,①_풀필먼트,물류회사,확장검색,KRW,32,"3,306",0.97%,241,7712,3.21%,23.44%,0,0, --,0.00%
2_주력 상품,②_드랍쉬핑,택배 우체국,확장검색,KRW,32,"3,162",1.01%,176,5635,5.63%,54.93%,0,0, --,0.00%
2_주력 상품,①_풀필먼트,물류창고,확장검색,KRW,30,"2,417",1.24%,225,6748,0.79%,17.52%,0,0, --,0.00%
2_주력 상품,①_풀필먼트,물류시스템,확장검색,KRW,30,"1,892",1.59%,262,7848,0.10%,9.15%,0,0, --,0.00%
3_비주력 상품,①_창고,대한물류,확장검색,KRW,30,"1,749",1.72%,263,7892,3.74%,24.61%,0,0, --,0.00%
2_주력 상품,④_냉장냉동,밀키트배송,확장검색,KRW,29,"1,774",1.63%,277,8046,8.21%,48.97%,0,0, --,0.00%
3_비주력 상품,③_기타,상차,확장검색,KRW,27,"6,557",0.41%,289,7799,5.13%,48.72%,0,0, --,0.00%
2_주력 상품,③_3PL/4PL,3자물류,확장검색,KRW,27,"1,172",2.30%,261,7046,1.50%,11.76%,0,0, --,0.00%
2_주력 상품,④_냉장냉동,식품물류,확장검색,KRW,27,"1,936",1.39%,250,6763,2.27%,17.12%,0,0, --,0.00%
2_주력 상품,①_풀필먼트,물류배송,확장검색,KRW,26,"1,141",2.28%,236,6136,6.07%,35.51%,0,0, --,0.00%
3_비주력 상품,③_기타,3PL물류대행,확장검색,KRW,25,833,3.00%,301,7528,1.97%,30.96%,1,0,7528,4.00%
3_비주력 상품,②_택배,우체국택배,확장검색,KRW,25,"1,582",1.58%,244,6090,15.91%,78.41%,0,0, --,0.00%
2_주력 상품,①_풀필먼트,물류센터,확장검색,KRW,25,"3,661",0.68%,251,6277,2.75%,32.55%,0,0, --,0.00%
2_주력 상품,④_냉장냉동,창고임대,확장검색,KRW,24,"2,249",1.07%,252,6050,0.37%,14.02%,0,0, --,0.00%
3_비주력 상품,②_택배,물류택배,확장검색,KRW,24,"2,440",0.98%,304,7287,11.82%,45.00%,0,0, --,0.00%
2_주력 상품,①_풀필먼트,풀필먼트,구문검색,KRW,22,"1,867",1.18%,256,5637,5.82%,51.82%,0,0, --,0.00%
2_주력 상품,②_드랍쉬핑,해외직구대행,확장검색,KRW,21,"3,261",0.64%,249,5237,3.42%,55.13%,0,0, --,0.00%
3_비주력 상품,②_택배,우체국 배송,확장검색,KRW,21,"1,797",1.17%,247,5182,9.57%,44.15%,0,0, --,0.00%
3_비주력 상품,②_택배,택배서비스,확장검색,KRW,20,"1,826",1.10%,358,7158,11.86%,63.56%,0,0, --,0.00%
2_주력 상품,③_3PL/4PL,택배대행,확장검색,KRW,20,522,3.83%,257,5147,2.66%,33.17%,1,0,5147,5.00%
3_비주력 상품,②_택배,택배업체,확장검색,KRW,19,"2,707",0.70%,248,4714,10.63%,60.63%,0,0, --,0.00%
2_주력 상품,④_냉장냉동,냉동냉장,확장검색,KRW,19,"1,031",1.84%,240,4567,9.47%,32.63%,0,0, --,0.00%
2_주력 상품,④_냉장냉동,냉장창고,확장검색,KRW,18,"1,089",1.65%,252,4527,1.19%,20.16%,0,0, --,0.00%
2_주력 상품,①_풀필먼트,풀필먼트,확장검색,KRW,18,922,1.95%,221,3978,5.34%,39.86%,0,0, --,0.00%
3_비주력 상품,②_택배,해외택배,확장검색,KRW,18,"1,606",1.12%,344,6189,7.69%,50.50%,0,0, --,0.00%
2_주력 상품,④_냉장냉동,냉동냉장창고,확장검색,KRW,18,729,2.47%,243,4369,0.90%,25.79%,0,0, --,0.00%
3_비주력 상품,③_기타,물류관리,확장검색,KRW,18,"1,258",1.43%,276,4974,1.87%,13.07%,0,0, --,0.00%
2_주력 상품,①_풀필먼트,WMS,확장검색,KRW,18,591,3.05%,235,4228,1.05%,36.48%,0,0, --,0.00%
