광고그룹 보고서,,,,,,,,,,,,,,,,
2021년 10월 1일 (금) - 2021년 12월 31일 (금),,,,,,,,,,,,,,,,
광고그룹 상태,캠페인,광고그룹,상태,상태 이유,통화 코드,타겟 CPA,광고그룹 유형,노출수,상호작용 수,상호작용 발생률,통화 코드,평균 비용,비용,전환수,전환당비용,전환율
사용중,2_주력 상품,①_풀필먼트,운영가능,알 수 없음,KRW, --,일반,"182,668","1,618",0.89%,KRW,233,377384,0,0,0.00%
사용중,3_비주력 상품,②_택배,운영가능,알 수 없음,KRW, --,일반,"117,425",856,0.73%,KRW,307,262434,0,0,0.00%
사용중,1_브랜드 키워드,①_브랜드 키워드,운영가능,알 수 없음,KRW, --,일반,"9,421",729,7.74%,KRW,164,119356,0,0,0.00%
사용중,2_주력 상품,④_냉장냉동,운영가능,알 수 없음,KRW, --,일반,"105,691","1,018",0.96%,KRW,252,256887,2,128443,0.20%
사용중,2_주력 상품,②_드랍쉬핑,운영가능,알 수 없음,KRW, --,일반,"166,464","1,649",0.99%,KRW,259,426835,0,0,0.00%
사용중,2_주력 상품,③_3PL/4PL,운영가능,알 수 없음,KRW, --,일반,"15,014",305,2.03%,KRW,234,71262,1,71262,0.33%
사용중,3_비주력 상품,③_기타,운영가능,알 수 없음,KRW, --,일반,"65,130",306,0.47%,KRW,279,85408,1,85408,0.33%
사용중,3_비주력 상품,①_창고,운영가능,알 수 없음,KRW, --,일반,"28,714",263,0.92%,KRW,292,76891,0,0,0.00%
전체: 광고그룹,,,,,,,,0,0, --,KRW, --,0,0,0,0.00%
전체: 광고그룹,,,,,,,,"690,527","6,744",0.98%,KRW,249,1676457,4,419114,0.06%
전체: 계정,,,,,,,,0,0, --,KRW, --,0,0,0,0.00%
전체: 계정,,,,,,,,"690,527","6,744",0.98%,KRW,249,1676457,4,419114,0.06%
전체: 검색,,,,,,,,"690,527","6,744",0.98%,KRW,249,1676457,4,419114,0.06%
전체: 검색,,,,,,,,0,0, --,KRW, --,0,0,0,0.00%
전체: 디스플레이,,,,,,,,0,0, --,KRW, --,0,0,0,0.00%
