검색어,캠페인,클릭수,비용,CPC,사용자,세션,이탈률,세션당 페이지수,문의하기 완료(유효성체크완료) (목표 5 전환율),문의하기 완료(유효성체크완료) (목표 5 완료 수)
콜로세움,①_브랜드 키워드,0,0.00,0.00,252,461,45.77%,3.11,0.87%,4
3pl,③_3PL/4PL,0,0.00,0.00,39,42,71.43%,1.86,2.38%,1
경품 발송 대행,①_풀필먼트,0,0.00,0.00,1,4,0.00%,3.50,25.00%,1
글로벌 셀러 물류,①_풀필먼트,0,0.00,0.00,1,1,0.00%,9.00,100.00%,1
냉동 창고,④_냉장냉동,0,0.00,0.00,6,7,14.29%,3.86,14.29%,1
냉장 냉동 3pl 업체,③_기타,0,0.00,0.00,1,1,0.00%,10.00,100.00%,1
상온 냉동 냉장 4pl,③_기타,0,0.00,0.00,1,2,0.00%,7.00,50.00%,1
세탁 특공대 3pl,③_3PL/4PL,0,0.00,0.00,1,1,0.00%,5.00,100.00%,1
인천 냉동 삼자 물류,③_기타,0,0.00,0.00,1,3,0.00%,14.00,33.33%,1
전주 새벽 배송,④_냉장냉동,0,0.00,0.00,1,2,0.00%,3.00,50.00%,1
콜로세움 3 자 물류,①_브랜드 키워드,0,0.00,0.00,1,2,0.00%,5.00,50.00%,1
콜로세움 3pl,,0,0.00,0.00,2,2,50.00%,7.50,50.00%,1
콜로세움 견적,①_브랜드 키워드,0,0.00,0.00,1,1,0.00%,7.00,100.00%,1
콜로세움 물류,①_브랜드 키워드,0,0.00,0.00,36,49,48.98%,2.57,2.04%,1
콜로세움 코퍼레이션,①_브랜드 키워드,0,0.00,0.00,144,258,46.51%,2.82,0.39%,1
택배 업체 추천,③_3PL/4PL,0,0.00,0.00,1,4,50.00%,7.75,25.00%,1
(not set),(not set),0,0.00,0.00,5,8,37.50%,3.50,0.00%,0
(not set),①_브랜드 키워드,0,0.00,0.00,1,5,0.00%,2.80,0.00%,0
(not set),①_창고,0,0.00,0.00,3,4,75.00%,1.25,0.00%,0
(not set),①_풀필먼트,0,0.00,0.00,35,38,81.58%,1.37,0.00%,0
(not set),②_드랍쉬핑,0,0.00,0.00,46,50,92.00%,1.18,0.00%,0
(not set),②_택배,0,0.00,0.00,32,42,92.86%,1.21,0.00%,0
(not set),③_3PL/4PL,0,0.00,0.00,5,6,83.33%,1.50,0.00%,0
(not set),③_기타,0,0.00,0.00,9,11,72.73%,2.45,0.00%,0
(not set),④_냉장냉동,0,0.00,0.00,15,18,77.78%,1.44,0.00%,0
1 일 배송,②_택배,0,0.00,0.00,1,1,100.00%,1.00,0.00%,0
1 톤 냉탑 지입,2_주력 상품,0,0.00,0.00,1,1,100.00%,1.00,0.00%,0
1 톤 지입차 현실,①_풀필먼트,0,0.00,0.00,1,1,100.00%,1.00,0.00%,0
1 톤 지입차 현실,2_주력 상품,1,273.00,273.00,0,0,0.00%,0.00,0.00%,0
1 톤 쿠팡 알바,①_풀필먼트,0,0.00,0.00,1,1,0.00%,2.00,0.00%,0
100 평 냉동 창고 대여,④_냉장냉동,0,0.00,0.00,1,1,100.00%,1.00,0.00%,0
100kg 알리 익스프레스 직배 가능,②_드랍쉬핑,0,0.00,0.00,1,1,100.00%,1.00,0.00%,0
11 가 아마존,2_주력 상품,1,264.00,264.00,0,0,0.00%,0.00,0.00%,0
11 번가 고객 센터 전화 번호,2_주력 상품,7,1102.00,157.43,0,0,0.00%,0.00,0.00%,0
11 번가 물류 센터,②_택배,0,0.00,0.00,1,1,100.00%,1.00,0.00%,0
